RDD ANALYSIS RESULTS
Year: 1850
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1850)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Robust: msetwo uniform p1                             -0.5351     0.1178     0.0000          351          291       136.18       109.40
Robust: msesum uniform p1                             -0.5119     0.1187     0.0000          330          314       121.45       121.45
Robust: cerrd uniform p1                              -0.5228     0.1378     0.0001          255          240        87.31        87.31
Robust: certwo uniform p1                             -0.5207     0.1406     0.0002          269          219        94.22        75.70
Robust: cersum uniform p1                             -0.5361     0.1398     0.0001          245          233        84.03        84.03
Robust: mserd epanechnikov p1                         -0.5392     0.1130     0.0000          382          393       156.89       156.89
Robust: msetwo epanechnikov p1                        -0.5555     0.1109     0.0000          399          395       169.75       157.55
Robust: msesum epanechnikov p1                        -0.5388     0.1106     0.0000          393          409       164.82       164.82
Robust: cerrd epanechnikov p1                         -0.4969     0.1327     0.0002          303          288       108.55       108.55
Robust: certwo epanechnikov p1                        -0.4989     0.1312     0.0001          317          291       117.45       109.01
Robust: cersum epanechnikov p1                        -0.4866     0.1302     0.0002          310          295       114.04       114.04
Robust: mserd triangular p2                           -0.3406     0.1491     0.0224          442          476       197.41       197.41
Robust: msetwo triangular p2                          -0.4487     0.1398     0.0013          527          482       276.43       201.04
Robust: msesum triangular p2                          -0.3233     0.1483     0.0293          444          480       199.69       199.69
Robust: cerrd triangular p2                           -0.3683     0.1840     0.0454          341          333       129.59       129.59
Robust: certwo triangular p2                          -0.3677     0.1726     0.0332          418          337       181.46       131.97
Robust: cersum triangular p2                          -0.3602     0.1829     0.0489          344          337       131.09       131.09
Robust: mserd uniform p2                              -0.4622     0.1259     0.0002          493          540       237.07       237.07
Robust: msetwo uniform p2                             -0.4781     0.1227     0.0001          540          519       294.63       223.74
Robust: msesum uniform p2                             -0.4800     0.1297     0.0002          475          516       220.11       220.11
Robust: cerrd uniform p2                              -0.2997     0.1543     0.0521          378          391       155.62       155.62
Robust: certwo uniform p2                             -0.3971     0.1505     0.0083          435          367       193.41       146.87
Robust: cersum uniform p2                             -0.3404     0.1591     0.0324          368          363       144.49       144.49
Robust: mserd epanechnikov p2                         -0.3452     0.1464     0.0184          438          470       194.78       194.78
Robust: msetwo epanechnikov p2                        -0.4711     0.1370     0.0006          519          478       265.13       198.82
Robust: msesum epanechnikov p2                        -0.3919     0.1361     0.0040          485          527       227.19       227.19
Robust: cerrd epanechnikov p2                         -0.3894     0.1815     0.0319          338          329       127.86       127.86
Robust: certwo epanechnikov p2                        -0.3790     0.1708     0.0265          407          335       174.04       130.51
Robust: cersum epanechnikov p2                        -0.3518     0.1666     0.0347          373          375       149.14       149.14
Robust Clustered: mserd triangular p1                 -0.5361     0.2364     0.0233          441          475       196.91       196.91
Robust Clustered: msetwo triangular p1                -0.5328     0.2397     0.0263          490          461       233.84       190.11
Robust Clustered: msesum triangular p1                -0.5077     0.2376     0.0326          478          518       222.40       222.40
Robust Clustered: cerrd triangular p1                 -0.5181     0.2323     0.0257          391          406       163.74       163.74
Robust Clustered: certwo triangular p1                -0.5361     0.2357     0.0229          437          397       194.46       158.09
Robust Clustered: cersum triangular p1                -0.5191     0.2356     0.0276          423          449       184.94       184.94
Robust Clustered: mserd uniform p1                    -0.5998     0.2467     0.0150          386          399       158.83       158.83
Robust Clustered: msetwo uniform p1                   -0.5658     0.2495     0.0233          436          344       194.10       136.78
Robust Clustered: msesum uniform p1                   -0.5650     0.2478     0.0226          370          367       146.66       146.66
Robust Clustered: cerrd uniform p1                    -0.5400     0.2416     0.0254          346          337       132.08       132.08
Robust Clustered: certwo uniform p1                   -0.5680     0.2468     0.0214          388          294       161.41       113.74
Robust Clustered: cersum uniform p1                   -0.5006     0.2446     0.0407          330          316       121.96       121.96
Robust Clustered: mserd epanechnikov p1               -0.5689     0.2418     0.0186          443          477       197.77       197.77
Robust Clustered: msetwo epanechnikov p1              -0.5654     0.2449     0.0210          483          449       226.35       185.96
Robust Clustered: msesum epanechnikov p1              -0.5475     0.2420     0.0237          455          488       205.33       205.33
Robust Clustered: cerrd epanechnikov p1               -0.5497     0.2383     0.0210          393          407       164.46       164.46
Robust Clustered: certwo epanechnikov p1              -0.5639     0.2412     0.0194          426          389       188.22       154.64
Robust Clustered: cersum epanechnikov p1              -0.5411     0.2395     0.0239          399          421       170.75       170.75
Robust Clustered: mserd triangular p2                 -0.3442     0.2236     0.1237          455          493       206.10       206.10
Robust Clustered: msetwo triangular p2                -0.4531     0.2317     0.0505          549          449       312.22       185.84
Robust Clustered: msesum triangular p2                -0.3233     0.2235     0.1481          455          488       205.54       205.54
Robust Clustered: cerrd triangular p2                 -0.3254     0.2231     0.1447          397          416       166.93       166.93
Robust Clustered: certwo triangular p2                -0.4436     0.2266     0.0503          509          378       252.88       150.52
Robust Clustered: cersum triangular p2                -0.3145     0.2232     0.1589          395          415       166.48       166.48
Robust Clustered: mserd uniform p2                    -0.4636     0.2371     0.0506          490          536       234.92       234.92
Robust Clustered: msetwo uniform p2                   -0.4905     0.2451     0.0454          527          497       275.97       211.83
Robust Clustered: msesum uniform p2                   -0.4386     0.2354     0.0624          454          485       203.69       203.69
Robust Clustered: cerrd uniform p2                    -0.4127     0.2356     0.0799          431          461       190.27       190.27
Robust Clustered: certwo uniform p2                   -0.4779     0.2329     0.0402          479          422       223.52       171.57
Robust Clustered: cersum uniform p2                   -0.3193     0.2232     0.1525          393          410       164.98       164.98
Robust Clustered: mserd epanechnikov p2               -0.3398     0.2249     0.1309          443          477       197.95       197.95
Robust Clustered: msetwo epanechnikov p2              -0.4710     0.2316     0.0420          532          435       287.88       178.56
Robust Clustered: msesum epanechnikov p2              -0.3734     0.2300     0.1045          479          518       222.77       222.77
Robust Clustered: cerrd epanechnikov p2               -0.3258     0.2221     0.1423          386          401       160.33       160.33
Robust Clustered: certwo epanechnikov p2              -0.4571     0.2259     0.0430          490          363       233.17       144.62
Robust Clustered: cersum epanechnikov p2              -0.3228     0.2211     0.1444          417          438       180.43       180.43
========================================================================================================================

