RDD ANALYSIS RESULTS
Year: 1880
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1880)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Robust: msesum uniform p1                             -0.0789     0.0938     0.4002          327          332       107.93       107.93
Robust: cerrd uniform p1                              -0.1156     0.1559     0.4586          129          143        38.65        38.65
Robust: certwo uniform p1                             -0.1131     0.1325     0.3932          188          176        57.76        49.12
Robust: cersum uniform p1                             -0.1023     0.1115     0.3590          228          246        73.24        73.24
Robust: mserd epanechnikov p1                         -0.1011     0.1249     0.4181          221          231        69.27        69.27
Robust: msetwo epanechnikov p1                        -0.1098     0.1152     0.3403          241          274        76.70        85.56
Robust: msesum epanechnikov p1                        -0.1459     0.0867     0.0923          407          425       147.45       147.45
Robust: cerrd epanechnikov p1                         -0.0450     0.1527     0.7680          154          170        47.01        47.01
Robust: certwo epanechnikov p1                        -0.0596     0.1384     0.6668          170          201        52.05        58.07
Robust: cersum epanechnikov p1                        -0.1313     0.1047     0.2099          303          309       100.06       100.06
Robust: mserd triangular p2                           -0.0164     0.1232     0.8939          443          482       167.17       167.17
Robust: msetwo triangular p2                          -0.0213     0.1181     0.8570          512          497       196.88       173.88
Robust: msesum triangular p2                          -0.0066     0.1120     0.9529          523          567       202.36       202.36
Robust: cerrd triangular p2                           -0.0389     0.1573     0.8047          326          332       107.33       107.33
Robust: certwo triangular p2                          -0.0448     0.1503     0.7655          370          341       126.41       111.64
Robust: cersum triangular p2                          -0.0351     0.1410     0.8036          376          382       129.92       129.92
Robust: mserd uniform p2                               0.0144     0.1239     0.9075          392          403       137.53       137.53
Robust: msetwo uniform p2                              0.0038     0.1159     0.9737          418          462       152.29       158.63
Robust: msesum uniform p2                             -0.0479     0.1040     0.6448          509          550       195.97       195.97
Robust: cerrd uniform p2                              -0.0632     0.1601     0.6930          272          281        88.30        88.30
Robust: certwo uniform p2                             -0.1074     0.1509     0.4768          297          316        97.78       101.85
Robust: cersum uniform p2                             -0.0180     0.1295     0.8892          367          372       125.82       125.82
Robust: mserd epanechnikov p2                         -0.0159     0.1232     0.8974          425          454       156.63       156.63
Robust: msetwo epanechnikov p2                        -0.0160     0.1175     0.8916          480          475       185.87       165.57
Robust: msesum epanechnikov p2                        -0.0069     0.1103     0.9504          511          551       196.73       196.73
Robust: cerrd epanechnikov p2                         -0.0554     0.1584     0.7265          304          310       100.57       100.57
Robust: certwo epanechnikov p2                        -0.0660     0.1496     0.6590          352          327       119.34       106.30
Robust: cersum epanechnikov p2                        -0.0526     0.1384     0.7037          370          373       126.31       126.31
Robust Clustered: mserd triangular p1                 -0.0923     0.1815     0.6109          315          318       102.78       102.78
Robust Clustered: msetwo triangular p1                -0.1079     0.1762     0.5403          337          389       113.71       131.18
Robust Clustered: msesum triangular p1                -0.1297     0.1682     0.4406          452          494       172.87       172.87
Robust Clustered: cerrd triangular p1                 -0.1008     0.1885     0.5928          264          274        85.47        85.47
Robust Clustered: certwo triangular p1                -0.1102     0.1824     0.5456          286          337        94.55       109.08
Robust Clustered: cersum triangular p1                -0.1248     0.1728     0.4703          400          417       143.75       143.75
Robust Clustered: mserd uniform p1                    -0.1217     0.1868     0.5147          243          256        76.99        76.99
Robust Clustered: msetwo uniform p1                   -0.1376     0.1767     0.4362          330          296       111.00        95.93
Robust Clustered: msesum uniform p1                   -0.0948     0.1741     0.5859          360          372       124.93       124.93
Robust Clustered: cerrd uniform p1                    -0.1318     0.1970     0.5033          199          217        64.02        64.02
Robust Clustered: certwo uniform p1                   -0.1524     0.1840     0.4075          281          257        92.30        79.77
Robust Clustered: cersum uniform p1                   -0.0916     0.1742     0.5992          317          323       103.88       103.88
Robust Clustered: mserd epanechnikov p1               -0.1101     0.1846     0.5508          285          292        93.81        93.81
Robust Clustered: msetwo epanechnikov p1              -0.1031     0.1772     0.5608          316          347       103.33       116.11
Robust Clustered: msesum epanechnikov p1              -0.1325     0.1700     0.4357          431          461       158.30       158.30
Robust Clustered: cerrd epanechnikov p1               -0.1061     0.1900     0.5765          248          256        78.01        78.01
Robust Clustered: certwo epanechnikov p1              -0.1212     0.1849     0.5122          267          299        85.92        96.55
Robust Clustered: cersum epanechnikov p1              -0.1219     0.1736     0.4828          380          390       131.63       131.63
Robust Clustered: mserd triangular p2                 -0.0138     0.1924     0.9430          489          536       189.60       189.60
Robust Clustered: msetwo triangular p2                -0.0190     0.1919     0.9212          531          558       208.12       198.12
Robust Clustered: msesum triangular p2                -0.0146     0.1897     0.9385          565          614       222.86       222.86
Robust Clustered: cerrd triangular p2                 -0.0224     0.1961     0.9089          420          447       153.56       153.56
Robust Clustered: certwo triangular p2                -0.0158     0.1937     0.9352          446          465       168.56       160.47
Robust Clustered: cersum triangular p2                -0.0079     0.1928     0.9675          475          513       180.50       180.50
Robust Clustered: mserd uniform p2                     0.0091     0.1910     0.9621          423          454       156.10       156.10
Robust Clustered: msetwo uniform p2                   -0.0097     0.1929     0.9597          438          488       164.27       169.80
Robust Clustered: msesum uniform p2                   -0.0529     0.1936     0.7846          507          549       194.86       194.86
Robust Clustered: cerrd uniform p2                     0.0048     0.1967     0.9805          370          373       126.43       126.43
Robust Clustered: certwo uniform p2                    0.0155     0.1956     0.9370          381          403       133.05       137.53
Robust Clustered: cersum uniform p2                   -0.0009     0.1915     0.9961          430          459       157.82       157.82
Robust Clustered: mserd epanechnikov p2               -0.0077     0.1921     0.9681          465          505       176.71       176.71
Robust Clustered: msetwo epanechnikov p2              -0.0137     0.1931     0.9436          510          534       196.55       188.61
Robust Clustered: msesum epanechnikov p2              -0.0124     0.1915     0.9484          532          587       211.99       211.99
Robust Clustered: cerrd epanechnikov p2               -0.0240     0.1979     0.9034          400          416       143.12       143.12
Robust Clustered: certwo epanechnikov p2              -0.0161     0.1930     0.9334          431          446       159.20       152.76
Robust Clustered: cersum epanechnikov p2              -0.0083     0.1917     0.9656          451          493       171.70       171.70
========================================================================================================================

