RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Border Point 4                                         0.2358     0.2532     0.3517           55           39       115.82       115.82
Border Point 5                                         0.1213     0.3395     0.7208           27           36        90.16        90.16
Border Point 6                                         0.4490     0.6170     0.4668           15           26        38.73        38.73
Border Point 7                                        -0.5212     0.1503     0.0005           22           31        57.61        57.61
Border Point 8                                        -0.3759     0.1603     0.0190           22           31        56.13        56.13
Border Point 9                                        -0.2104     0.1827     0.2496           27           26        55.50        55.50
Border Point 10                                        0.1116     0.2020     0.5808           30           36        61.62        61.62
Border Point 11                                        0.4185     0.1763     0.0176           67           56       103.61       103.61
Border Point 12                                        0.3798     0.1369     0.0055           75           71       125.84       125.84
Border Point 13                                        0.1092     0.1550     0.4812           51           72       127.75       127.75
Border Point 14                                       -0.0979     0.1380     0.4781           18           33        52.57        52.57
Border Point 15                                        0.1275     0.1310     0.3304           44           27        80.32        80.32
Border Point 16                                       -0.0044     0.1791     0.9804           36           27        74.91        74.91
Border Point 17                                       -0.3372     0.1668     0.0432           59           49       136.72       136.72
Border Point 18                                       -0.2311     0.2955     0.4342           25           44        80.29        80.29
Border Point 19                                       -0.4614     0.2854     0.1059           45           48        85.51        85.51
Border Point 20                                        0.0480     0.1918     0.8025          111           76       178.02       178.02
Overall                                                0.0136     0.1080     0.9002          272          287        88.77        88.77
Robust: mserd triangular p1                            0.0136     0.1080     0.9002          272          287        88.77        88.77
Robust: msetwo triangular p1                          -0.0457     0.0893     0.6086          274          500        90.71       172.56
Robust: msesum triangular p1                           0.0258     0.0874     0.7679          398          415       141.02       141.02
Robust: cerrd triangular p1                            0.0526     0.1308     0.6878          193          206        60.00        60.00
Robust: certwo triangular p1                          -0.0172     0.1053     0.8705          194          353        61.30       116.62
Robust: cersum triangular p1                           0.0132     0.1046     0.8992          288          300        95.31        95.31
Robust: mserd uniform p1                              -0.0329     0.1118     0.7689          214          227        66.72        66.72
Robust: msetwo uniform p1                             -0.0020     0.0972     0.9837          205          345        65.48       111.52
Robust: msesum uniform p1                              0.0692     0.0940     0.4615          286          299        95.08        95.08
Robust: cerrd uniform p1                               0.0316     0.1340     0.8137          152          165        45.09        45.09
Robust: certwo uniform p1                             -0.0224     0.1140     0.8445          148          253        44.25        75.37
Robust: cersum uniform p1                             -0.0435     0.1153     0.7059          199          219        64.26        64.26
Robust: mserd epanechnikov p1                         -0.0014     0.1086     0.9900          253          265        81.20        81.20
Robust: msetwo epanechnikov p1                        -0.0355     0.0921     0.6996          258          424        83.19       144.62
Robust: msesum epanechnikov p1                         0.0327     0.0880     0.7099          373          384       129.08       129.08
Robust: cerrd epanechnikov p1                          0.0451     0.1309     0.7302          184          193        54.88        54.88
Robust: certwo epanechnikov p1                        -0.0253     0.1085     0.8154          186          306        56.22        97.74
Robust: cersum epanechnikov p1                        -0.0083     0.1048     0.9370          272          281        87.23        87.23
Robust: mserd triangular p2                            0.0740     0.1083     0.4947          502          555       193.83       193.83
Robust: msetwo triangular p2                           0.0693     0.1041     0.5055          532          591       211.39       210.72
Robust: msesum triangular p2                           0.0361     0.0951     0.7041          621          691       254.07       254.07
Robust: cerrd triangular p2                            0.0329     0.1363     0.8094          360          375       123.87       123.87
Robust: certwo triangular p2                           0.0465     0.1299     0.7204          384          401       135.09       134.66
Robust: cersum triangular p2                           0.0642     0.1178     0.5859          436          473       162.36       162.36
Robust: mserd uniform p2                               0.0748     0.1079     0.4882          440          482       166.01       166.01
Robust: msetwo uniform p2                              0.0533     0.1024     0.6027          446          557       168.48       195.47
Robust: msesum uniform p2                              0.0718     0.1009     0.4769          488          541       188.29       188.29
