GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G3901170,1860,Ohio,20445,0,7505514,149404,92594,241998,31.014776981627946,0,189.50899563962415,0,650052
G3600470,1860,New York,279122,0,6247950,16006,1031,17037,366.7282972354288,0,2240.8128655216183,0,84782
G3601170,1860,New York,47762,0,10951988,180237,63639,243876,44.90801882924109,0,274.4006042518413,0,624824
G3700190,1860,North Carolina,8406,3631,755766,21511,303553,325064,2.3249760047252233,43.19533666428742,14.206256192095179,400,99118
G3900750,1860,Ohio,20589,0,7273377,153143,86578,239721,30.341008922872838,0,185.39208362106035,0,434744
G2500150,1860,Massachusetts,37823,0,7730161,222448,66659,289107,26.73806237828901,0,163.37706860380592,0,301286
G5100870,1860,Virginia,61616,20041,5128610,69220,66490,135710,37.79095129319873,32.52564269021033,230.91332328723172,0,357285
G4804030,1860,Texas,2750,1150,245347,13627,79877,93504,2.6239198323066395,41.81818181818181,16.032886915610558,850000,87524
G4500450,1860,South Carolina,21892,7049,3693522,99589,385365,484954,7.616231642588781,32.19897679517632,46.537313810146394,1072800,623288
G3701290,1860,North Carolina,21715,10331,1381687,52925,395624,448549,3.080347966442908,47.57540870366107,18.821790970379993,52000,235887
G3150215,1860,Nebraska Territory,247,0,12380,983,4668,5651,2.190762696867811,0,13.386175196878078,0,5020
G5100750,1860,Virginia,10656,6139,2524327,83424,72636,156060,16.175362040240934,57.610735735735744,98.83600375940736,0,276744
G3701950,1860,North Carolina,9720,3496,1511672,61366,115544,176910,8.544864620428466,35.96707818930041,52.21152204490104,1204800,287216
G4800550,1860,Texas,4481,1610,740022,23498,96605,120103,6.161561326528063,35.929480026779736,37.64886973889802,1067200,79265
G3600970,1860,New York,18840,0,8207612,147234,55239,202473,40.53682219357643,0,247.6913654699917,0,212934
G4500570,1860,South Carolina,11797,5650,2222478,82527,192603,275130,8.07791952894995,47.893532253962874,49.35835642783519,4248400,361421
G2701410,1860,Minnesota,723,0,126631,7823,15104,22927,5.523225890871025,0,33.74846099618142,0,18199
G3300190,1860,New Hampshire,19041,0,4800555,218416,74792,293208,16.372523942047966,0,100.04071833826704,0,122578
G5500450,1860,Wisconsin,19808,0,5061339,190229,122639,312868,16.177234488666148,0,98.84744494502864,0,540402
G2050415,1860,Kansas Territory,158,0,6700,524,1076,1600,4.1875,0,25.586800759876756,0,4437
G5500110,1860,Wisconsin,3864,0,448536,13262,43695,56957,7.874993416085819,0,48.11842090095023,0,51453
G3600330,1860,New York,30837,0,6384796,176899,144550,321449,19.862547402542862,0,121.3657416053664,0,84900
G3150255,1860,Nebraska Territory,4328,0,305510,5551,34727,40278,7.585034013605442,0,46.34668753743541,0,73990
G2100790,1860,Kentucky,10531,3578,3974189,112812,21982,134794,29.483426562013147,33.97588073307378,180.15201460553754,0,741375
G2101490,1860,Kentucky,6144,888,1172853,32577,65686,98263,11.935855815515504,14.453125,72.93143036422961,0,319405
G3600170,1860,New York,40934,0,14750988,379520,150737,530257,27.818563451307572,0,169.97923354139616,0,113266
G1301590,1860,Georgia,10743,6954,1513478,148919,88208,237127,6.382562930412817,64.73052220050265,38.99925159112785,3702000,327214
G4701070,1860,Tennessee,13555,1909,2962346,108339,169109,277448,10.677121478619418,14.083364072298046,65.24021014028317,2800,655356
G4200450,1860,Pennsylvania,30597,0,14795210,92089,13505,105594,140.11411633236736,0,856.1365918190991,0,381296
G2050355,1860,Kansas Territory,3030,0,578848,16995,40868,57863,10.003767519831326,0,61.12582838878819,0,275780
G2050735,1860,Kansas Territory,1529,0,231475,8877,38456,47333,4.890351340502398,0,29.881419795876074,0,152190
G2200490,1860,Louisiana,9465,4098,1343760,70873,215002,285875,4.700515959772628,43.29635499207607,28.721472317927905,4274800,303608
G3600410,1860,New York,3024,0,321197,18589,32930,51519,6.234534831809624,0,38.09475834555811,0,1987
G1801790,1860,Indiana,10844,0,2393249,57642,74950,132592,18.049723965246773,0,110.28888140168162,0,423026
G1800070,1860,Indiana,2809,0,1211466,15649,31342,46991,25.78080909110255,0,157.52798224297558,0,346888
G2600250,1860,Michigan,29564,0,7529957,195511,144302,339813,22.159119868869055,0,135.39844420274122,0,616252
G2101030,1860,Kentucky,11949,3311,4536880,115169,56276,171445,26.462597334422117,27.709431751611014,161.69389984112345,0,886600
G3701630,1860,North Carolina,16624,7028,3110749,118636,345597,464233,6.700835571792613,42.276227141482195,40.94398679406625,384800,482378
G1901490,1860,Iowa,148,0,32810,1316,4286,5602,5.856836843984292,0,35.786917590479156,0,9040
G4700730,1860,Tennessee,16162,1925,2810483,98921,195629,294550,9.541616024444068,11.910654621952729,58.30195298977855,0,690640
G1303210,1860,Georgia,2763,632,527872,21980,116414,138394,3.8142694047429804,22.873688020267824,23.306257027737875,662800,87463
G5500230,1860,Wisconsin,8068,0,378859,9731,31322,41053,9.228533846491121,0,56.38893297574863,0,64505
G2050797,1860,Kansas Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4700210,1860,Tennessee,7258,1882,1587451,38758,110855,149613,10.610381450809756,25.930008266740153,64.8324098312027,3600,349792
G1900770,1860,Iowa,3058,0,510130,18477,39312,57789,8.82745851286577,0,53.93825007397598,0,278840
G3150695,1860,Nebraska Territory,2118,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G4804790,1860,Texas,1397,0,700,45,2000,2045,0.3422982885085575,0,2.0915386527797666,0,0
G1800150,1860,Indiana,13489,0,4413332,84502,94436,178938,24.66402888151203,0,150.70414159452997,0,793591
G2601570,1860,Michigan,4886,0,1015316,19035,100292,119327,8.508686215190192,0,51.990461830777626,0,39502
G1300830,1860,Georgia,3069,300,415160,15049,40734,55783,7.442410770306366,9.775171065493646,45.475219475340865,0,143540
G4100570,1860,Oregon,95,0,21418,773,6537,7310,2.9299589603283174,0,17.902871917023592,0,0
G1801710,1860,Indiana,10057,0,3915395,120068,75986,196054,19.971002886959717,0,122.02843506711922,0,1221195
G2801290,1860,Mississippi,7638,2195,1101771,37283,118947,156230,7.052237086347052,28.737889499869073,43.09114871397631,2203600,243143
G3900790,1860,Ohio,17941,0,3114917,102988,91425,194413,16.022164155689175,0,97.89992167012727,0,424502
