GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G1801790,1850,Indiana,6152,0,858200,23901,68545,92446,9.283257252882764,0,83.43598501976722,0,148565
G2102290,1850,Kentucky,12194,3045,2176912,102441,83802,186243,11.688557422292382,24.971297359357063,105.05432257478691,0,824925
G1701850,1850,Illinois,4690,0,407434,24369,39648,64017,6.364465688801412,0,57.202493629566895,0,320000
G5101193,1850,Virginia,12387,176,1569392,58536,68047,126583,12.398126130681055,1.4208444336804715,111.43177851625919,0,184379
G2801270,1850,Mississippi,4734,1541,211988,23152,52147,75299,2.815283071488333,32.55175327418674,25.303178591346448,740400,165099
G3900310,1850,Ohio,25674,0,5032658,184460,152386,336846,14.940530687613924,0,134.28238178490886,0,897016
G3700790,1850,North Carolina,6619,3244,767803,57161,80173,137334,5.590771404022311,49.01042453542831,50.24869034735554,71200,268370
G0100590,1850,Alabama,19610,8197,2196209,105461,296370,401831,5.465504154731716,41.800101988781236,49.122814369715044,6018000,892891
G0500970,1850,Arkansas,1958,66,98230,6659,3239,9898,9.92422711658921,3.3707865168539324,89.19688881565479,15600,85280
G3701590,1850,North Carolina,13870,3854,1071546,104157,145157,249314,4.297977650673448,27.786589762076424,38.62932902839947,341600,540637
G4700810,1850,Tennessee,9397,1816,751904,44667,197376,242043,3.106489342802725,19.325316590401194,27.920479979122252,104400,635265
G3400270,1850,New Jersey,30158,19,7981997,136543,99542,236085,33.809843912150285,0.06300152530008622,303.8758437184143,0,524366
G3701290,1850,North Carolina,17668,8581,1002957,49694,365244,414938,2.4171249680675184,48.568032601313114,21.724616385478257,1200,215488
G2100430,1850,Kentucky,6241,257,438950,28234,218630,246864,1.7781045433923133,4.117929818939273,15.981233742067305,0,279777
G3701770,1850,North Carolina,5133,1702,319493,15188,37268,52456,6.090685526917798,33.15799727255017,54.741814488251805,0,149385
G1200750,1850,Florida,465,145,30000,1069,4802,5871,5.109862033725089,31.182795698924732,45.92637696930879,23600,6310
G0500030,1850,Arkansas,2058,644,148285,7526,13613,21139,7.014759449359005,31.292517006802722,63.04719867072931,275600,65787
G1301590,1850,Georgia,11486,7134,1441394,139948,89875,229823,6.271756960791565,62.11039526379941,56.36924686814281,3959600,460680
G2801390,1850,Mississippi,20741,4928,1383250,102770,282543,385313,3.589938569422781,23.759703003712453,32.265621057439674,4839200,865131
G5500675,1850,Wisconsin,489,0,3550,110,0,110,32.27272727272727,0,290.0605591252068,0,250
G2601270,1850,Michigan,300,0,0,0,0,0,NA,0,NA,0,0
G3400010,1850,New Jersey,8961,1,685425,15006,34585,49591,13.821560363775685,0.011159468809284678,124.22530929040924,0,68868
G3600270,1850,New York,58992,0,25181302,378506,96621,475127,52.99909708351662,0,476.3448593378461,0,782605
G4804590,1850,Texas,3394,682,237684,9564,120082,129646,1.8333307622294557,20.09428403064231,16.477595508425047,269200,90000
G0101010,1850,Alabama,29711,19427,2864322,203045,284804,487849,5.871329038288486,65.3865571673791,52.77028400054713,10130400,1265645
G2801210,1850,Mississippi,7227,3276,564190,37199,101305,138504,4.073456362271126,45.33001245330012,36.611378394753324,1070400,217673
G4200290,1850,Pennsylvania,66438,0,25425956,333572,89713,423285,60.068171562894975,0,539.8802301993909,0,1339466
G5101913,1850,Virginia,4760,189,618023,21594,140291,161885,3.817666862278778,3.9705882352941173,34.3123955799716,0,226800
G5100237,1850,Virginia,5054,31,1279368,33811,18630,52441,24.396331114967296,0.6133755441234665,219.26914896316063,0,150571
G5101057,1850,Virginia,3620,87,275487,12887,112853,125740,2.1909257197391443,2.4033149171270716,19.6915845970779,0,154943
G2200070,1850,Louisiana,10538,5341,5632580,31361,91525,122886,45.83581530849731,50.68324160182198,411.9627729007517,52000,564302
G1700930,1850,Illinois,7730,0,1335917,79257,70885,150142,8.8976901866233291,0,79.97058843662847,0,410986
G2100810,1850,Kentucky,6531,532,1201640,40544,74839,115383,10.414359134361215,8.145766345123258,93.60209343064423,0,542955
G1701730,1850,Illinois,7807,0,998930,51454,109520,160974,6.20553629778722,0,55.77406932475265,0,757382
G2400190,1850,Maryland,18877,4282,2708681,112521,113650,226171,11.976252481529462,22.683689145521004,107.64006591883913,0,597252
G4200470,1850,Pennsylvania,3531,0,286772,9730,37870,47600,6.024621848739495,0,54.14804789182103,0,10776
G4801390,1850,Texas,989,77,56136,2600,57048,59648,0.9411212446351931,7.785642062689585,8.458601968051946,0,28744
G0500290,1850,Arkansas,3583,240,150252,11885,33216,45101,3.3314560652757144,6.6982975160480045,29.942434081533197,199600,164192
G3901310,1850,Ohio,10953,0,1699333,68185,75386,143571,11.836185580653474,0,106.38117375147782,0,797655
G2901270,1850,Missouri,12230,2832,1661153,62145,122248,184393,9.008763890169366,23.156173344235487,80.96889577775912,0,668653
G2101150,1850,Kentucky,3873,30,253927,15094,110382,125476,2.0237097134113298,0.774593338497289,18.188681917665424,0,185120
G5000250,1850,Vermont,29062,0,6301500,319558,99674,419232,15.031056789558049,0,135.09601155729965,0,210141
G1701930,1850,Illinois,8925,0,522691,48548,88996,137544,3.800173035537719,0,34.15516470441311,0,708815
G1901850,1850,Iowa,340,0,8400,1126,3333,4459,1.8838304552590266,0,16.93147624406982,0,14415
G2800370,1850,Mississippi,5904,3350,451423,39944,77013,116957,3.859734774318767,56.741192411924125,34.690493222121006,1738800,189195
G4201230,1850,Pennsylvania,13671,0,1593186,49258,92780,142038,11.216618088117265,0,100.81263001539497,0,83398
G4803310,1850,Texas,2907,436,157410,3146,80923,84069,1.872390536345145,14.99828001375989,16.828656632685078,0,38539
G3900650,1850,Ohio,8251,0,1059330,33353,64588,97941,10.81600147027292,0,97.21197119332572,0,248320
G1701630,1850,Illinois,20180,0,2626504,113101,161001,274102,9.582213920365412,0,86.12294535601082,0,1102563
G4701850,1850,Tennessee,11444,1214,752896,79174,219678,298852,2.5192938310601902,10.608178958406151,22.64288887216347,0,599015
G2600910,1850,Michigan,26372,0,4159825,138499,137262,275761,15.084892352435624,0,135.57987439718693,0,399676
G4804530,1850,Texas,3138,791,278362,6941,66380,73321,3.7964839541195565,25.207138304652645,34.1220080080556,93600,149365
G1701530,1850,Illinois,2265,0,127613,7332,22809,30141,4.233867489466176,0,38.05312023611983,0,87145
G5501030,1850,Wisconsin,903,0,87111,2106,20664,22770,3.825691699604743,0,34.38452114847369,0,11095
G2200270,1850,Louisiana,7471,2522,424670,31971,85039,117010,3.6293479189812836,33.75719448534333,32.61982409305855,993200,234470
G4500670,1850,South Carolina,17407,7520,2601144,124306,652342,776648,3.349192941976288,43.201011087493534,30.10184943956682,3472000,476718
G5500090,1850,Wisconsin,6215,0,287290,5936,45027,50963,5.6372270078292095,0,50.666223650347106,0,11462
G5100790,1850,Virginia,4400,1699,692422,37998,39385,77383,8.947985991755296,38.61363636363636,80.42263667026378,0,137293
G5101830,1850,Virginia,9820,5992,555514,91408,98677,190085,2.922450482678802,61.01832993890021,26.26637698939994,312000,356171
