GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003,ATB001,ATB002,ATB003,ATB004,ATB005,ATB006,ATB007,ATB008,ATB009,ATB010,ATB011,ATB012,ATB013,ATB014,ATB015,ATB016,ATB017,ATB018,ATB019,ATB020,ATB021,ATB022,ATB023,ATB024,ATB025,ATB026,ATB027,ATB028,ATB029,ATB030,ATB031
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox","41","1310",30816,218456,236579,2821240,108470,812770,0,100,633838,46583,50,0,32582,9405,0,0,0,0,1200,83072,0,39059,0,0,755,304,6,0,275,0,5,5606,30,0,2150,2593,160605
"G0101330","1890","Alabama","010","Winston","1330","Winston","41","1330",6552,27091,147548,339260,21420,141670,0,0,140971,13338,65,893,1464,366,0,0,0,0,0,162,0,12564,0,0,71,0,0,0,6015,0,7,703,118,70,192,4819,24568
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District","81","2900",7134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District","81","2950",24918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache","61","10",4281,7897,1077638,3604290,23420,1200540,3493,0,13155,33223,207,16567,0,0,0,0,0,0,0,0,0,1217,0,0,2729,38,0,0,0,0,0,0,400,0,0,4985,0
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise","61","30",6938,6193,25320,229400,8240,744790,2111,0,455,150,0,1628,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,494,0,0,970,0
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila","61","70",2021,694,2386,50700,1450,23120,8224,0,550,60,0,913,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,400,0
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham","61","90",5670,9072,14461,367690,25330,91960,38369,0,38665,20,0,17974,0,0,0,0,0,0,0,0,0,3591,0,0,8144,0,2,0,0,0,0,0,355,0,0,4600,2503
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",10986,48762,13126,1720450,68650,199220,151485,0,2645,0,0,51473,0,0,0,0,0,0,0,0,0,0,0,0,28073,540,0,0,0,0,0,0,0,0,0,809,4458
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave","61","150",1444,382,1399,18100,1400,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima","61","190",12673,5174,26678,286100,11960,109580,6781,0,5518,48,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0,0,0,0,3823,0,0,5950,0
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal","61","210",4251,8402,12402,363620,16780,173190,37175,0,6260,70,0,7974,0,0,0,0,0,0,0,0,0,0,0,0,5488,190,0,0,0,0,30,0,140,0,4,1740,498
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",8685,16967,15450,488230,34040,691080,5354,0,15287,425,0,2675,0,0,0,0,0,0,0,0,0,0,0,0,10946,0,0,0,2,0,0,0,1734,0,0,19364,1080
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma","61","270",2671,585,4045,93650,5310,24180,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,100,80
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas","42","10",11432,76980,147447,1857700,93450,531450,0,0,259898,29259,0,733,7197,900,0,0,0,0,0,0,0,7824,0,0,23787,0,0,0,1613,0,23,6843,38,0,306,20368,18702
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley","42","30",13295,64925,174480,1567130,93880,455020,10,0,333170,8336,0,15,17246,4752,0,0,0,0,0,0,0,12404,0,0,156,0,0,300,458,0,82,2955,26,140,245,3365,31573
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter","42","50",8527,46317,100291,755340,58540,293010,0,5,336565,101174,604,27026,3467,909,0,0,0,0,0,0,0,22623,0,0,1450,0,0,0,19373,0,24,423,129,500,29,10875,6254
"G0500070","1890","Arkansas","050","Benton","0070","Benton","42","70",27716,175973,214754,4877600,178710,995540,42,405,1340329,451736,1226,162639,10,0,0,0,0,0,0,0,0,60926,0,0,12509,296,297,0,266380,0,11,55,340,1976,45,91584,11707
"G0500090","1890","Arkansas","050","Boone","0090","Boone","42","90",15816,94011,144956,1840850,82690,537890,0,2,834100,192210,2038,64629,2377,620,0,0,0,0,0,0,0,55269,0,0,4743,34,35,0,48421,0,28,469,327,3750,87,29497,15222
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley","42","110",7972,39908,126646,596890,38890,236270,0,0,182992,13706,0,80,6218,2236,0,0,0,0,0,0,0,22235,0,0,26,0,0,0,380,0,104,3810,20,0,370,2706,26117
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun","42","130",7267,41678,118694,557110,31430,187090,30,100,167186,10390,10,0,5273,655,0,0,0,0,0,0,0,16659,0,0,103,0,0,0,720,0,38,1630,77,610,101,2490,31183
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll","42","150",17288,81428,170329,1696590,67980,459800,0,20,844743,188345,2085,48767,289,14,0,0,0,0,0,0,0,36878,0,0,3575,33,23,0,26825,0,14,5,35,195,1,34748,9658
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot","42","170",11419,53570,96098,1823550,65780,327790,0,0,117943,1577,0,0,21432,8055,0,0,0,0,0,0,0,74,0,0,740,0,0,0,0,0,16,121,6,0,0,8243,11427
"G0500190","1890","Arkansas","050","Clark","0190","Clark","42","190",20997,84883,171181,1530390,77650,455940,30,80,477226,35621,119,555,11193,3043,0,0,0,0,0,0,0,22066,0,0,861,0,0,0,3956,0,107,7939,6,110,890,8566,60039
"G0500210","1890","Arkansas","050","Clay","0210","Clay","42","210",12200,51937,72489,1015930,53130,342220,0,0,484540,21098,80,14028,2059,638,0,0,0,0,0,0,0,19978,0,0,3718,0,4,0,16930,0,34,1664,251,0,84,25800,10821
