GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002,AJ1001,AJ1002,AJ1003,AJ1004,AJ1005,AJ1006,AJ1007,AJ1008,AJ1009,AJ1010,AJ1011,AJ1012,AJ1013,AJ1014,AJ1015,AJ1016,AJ1017,AJ1018,AJ1019,AJ1020,AJ1021,AJ1022,AJ1023,AJ1024,AJ1025,AJ1026,AJ1027,AJ1028,AJ1029,AJ1030,AJ1031,AJ1032,AJ1033,AJ1034
"G0100610","1870","Alabama","010","Geneva","0610","Geneva","41","610",2959,12758,81899,0,125304,13532,0,0,5,53642,4990,0,0,40657,6094,420,9001,4749,494,22039,6,13121,22,0,0,0,100,0,0,0,0,0,0,0,0,10548,0,0,683,11148
"G0100630","1870","Alabama","010","Greene","0630","Greene","41","630",18399,127856,109650,7447,1560652,61455,0,1265,25,207782,2038,0,0,0,0,9910,2498,1030,863,22080,0,81187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,941
"G0100650","1870","Alabama","010","Hale","0650","Hale","41","650",21792,165266,142083,2783,2639207,107712,0,360,15,384420,5240,10,0,0,0,18573,9759,987,325,26462,5,74257,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70
"G0100670","1870","Alabama","010","Henry","0670","Henry","41","670",14191,106863,211183,6570,895419,91348,52,0,40,248470,5670,0,0,330,126,7127,3411,3695,8,48988,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13267,14465,0,624,5516
"G0100710","1870","Alabama","010","Jackson","0710","Jackson","41","710",19410,77086,179640,3757,1510268,80042,8570,42355,701,506777,26952,211,0,25,11107,2339,16809,474,12281,19995,44,121075,140,900,113,0,11,0,0,0,0,0,0,0,0,0,18021,0,2206,24547
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson","41","730",12345,56964,186813,10495,1140247,54428,30300,14919,207,251184,9336,7,0,0,10,1470,8135,1917,887,24195,67,31566,0,0,4,20,0,0,0,0,0,0,0,0,0,0,8180,0,634,5358
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale","41","770",15091,93625,157142,3215,1405630,28805,13709,10417,286,447155,12526,0,0,0,1714,5457,11643,192,4603,4908,0,34306,25,2850,0,0,0,0,0,0,0,0,0,0,0,0,9045,0,1,786
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence","41","790",16658,144224,24528,140846,1413284,97905,3162,17071,97,519673,14217,104,10,0,6324,9243,8297,685,7005,14143,0,174063,50,0,0,0,0,0,0,0,0,0,0,0,0,0,12085,0,349,4624
"G0100810","1870","Alabama","010","Lee","0810","Lee","41","810",21750,120765,105122,74401,1405738,92146,52,35816,682,244955,44005,4,0,30,0,11591,1779,6973,4845,58827,135,112391,0,0,1659,2,0,0,0,0,0,0,0,0,0,845,0,0,408,3509
"G0100830","1870","Alabama","010","Limestone","0830","Limestone","41","830",15017,115730,116165,6502,1816510,105064,159,23851,837,404435,10102,0,0,0,9582,7319,4880,87,17922,15427,451,115982,20,0,65,3,0,0,0,0,0,0,0,0,0,25,5238,0,182,3173
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes","41","850",25719,126185,105699,48138,2271911,95833,1150,637,0,453187,10901,28,0,0,0,18369,385,265,1689,23225,0,55517,0,0,148,0,0,0,0,0,0,0,0,0,0,665,0,0,187,2317
"G0100870","1870","Alabama","010","Macon","0870","Macon","41","870",17727,125944,116379,4576,1486811,44920,2379,50,66,168661,31690,20,0,1745,282,11872,1854,3060,30,20755,10,45894,0,0,30,0,0,0,0,0,0,0,0,0,0,205,0,0,187,3754
"G0100890","1870","Alabama","010","Madison","0890","Madison","41","890",31267,139305,100390,9125,2194834,105344,13867,23011,564,674625,13223,1200,0,40,8736,12180,5730,523,10386,22437,101,78373,125,0,383,38,6,0,0,0,0,0,0,0,0,0,8134,0,543,6334
"G0100910","1870","Alabama","010","Marengo","0910","Marengo","41","910",26151,141368,176197,51226,2819711,119873,16,4,0,598938,11538,0,0,568,370,23614,2135,930,1733,38691,0,164391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,406,3743
"G0100930","1870","Alabama","010","Marion","0930","Marion","41","930",6059,18315,34734,62072,80438,9648,4782,326,383,90429,2644,0,0,0,1010,463,9691,3862,5066,15546,0,25335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,0,860,2003
"G0100950","1870","Alabama","010","Marshall","0950","Marshall","41","950",9871,48353,75593,11390,692799,38289,3240,13988,378,187491,9445,54,0,150,5477,2340,8693,92,2990,14797,0,47995,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10229,0,223,6378
"G0100970","1870","Alabama","010","Mobile","0970","Mobile","41","970",49311,13824,94287,1531,548730,43226,0,0,0,61350,185,0,0,90100,80,317,7532,4341,10394,67116,532,1148,0,36842,961,0,0,0,0,0,0,0,0,0,0,1620,0,0,100,1450
"G0100990","1870","Alabama","010","Monroe","0990","Monroe","41","990",14214,53175,224282,7667,768867,22935,0,10,0,232486,3011,0,30,90,10,6172,4568,2099,1418,44788,0,45037,0,0,1,0,0,0,0,0,0,0,0,0,0,10629,0,0,594,5328
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery","41","1010",43704,222200,90692,76850,3793895,140066,2012,28,50,602549,3045,0,0,3735,0,25517,201,1281,2074,25648,341,3403,0,1800,5,0,0,0,0,0,0,0,0,0,0,1599,0,0,21,483
"G0101030","1870","Alabama","010","Morgan","1030","Morgan","41","1030",12187,80749,79896,85591,1183488,64833,0,23336,300,333332,17701,480,56,0,1110,4389,6747,242,5116,19902,10,70886,2,0,40,0,0,0,0,0,0,0,0,0,0,0,11877,0,354,2797
"G0101050","1870","Alabama","010","Perry","1050","Perry","41","1050",24975,97977,82186,32304,1455175,75653,0,419,0,341985,1935,0,0,0,0,13449,695,20,200,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101070","1870","Alabama","010","Pickens","1070","Pickens","41","1070",17690,76816,199525,0,799785,61321,955,4259,36,254251,11686,350,0,0,0,8263,3799,4269,744,19662,0,28482,0,0,61,0,0,0,0,0,0,0,0,0,0,0,316,0,20,500
"G0101090","1870","Alabama","010","Pike","1090","Pike","41","1090",17423,97885,202379,11220,1314779,34184,0,0,5,309965,4416,12,0,8849,0,7192,3123,7822,0,64451,0,21725,0,0,845,0,0,0,0,0,0,0,2,0,0,26905,296,0,60,4180
"G0101110","1870","Alabama","010","Randolph","1110","Randolph","41","1110",12006,62023,184289,4754,620331,100663,56,48531,351,264448,20707,86,0,0,7677,2246,13262,762,1144,37758,50,125066,0,0,9,0,0,0,0,0,0,0,0,0,0,8188,4804,0,293,4082
"G0101130","1870","Alabama","010","Russell","1130","Russell","41","1130",21636,114781,93934,67846,1721442,98232,68,792,355,272221,26770,20,0,985,210,20796,662,8015,1266,52146,106,18975,0,1415,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"G0101150","1870","Alabama","010","St Clair","1150","St Clair","41","1150",9360,34055,72010,30428,401174,18162,427,29351,66,157268,7895,5,0,0,1293,1244,4451,75,693,8633,0,32677,0,0,0,0,0,0,0,0,0,0,0,0,0,3547,1032,0,12,1373
"G0101155","1870","Alabama","010","Sanford","1155","Sanford","41","750",8893,42465,224381,7156,304250,31918,2746,15926,239,219437,14128,0,0,620,4000,1825,9924,3442,1045,31619,1144,72157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6407,0,382,7128
"G0101170","1870","Alabama","010","Shelby","1170","Shelby","41","1170",12218,48376,138544,9413,516136,36450,10954,19321,395,221618,26189,110,0,226,3710,2194,6283,5082,2602,22358,27,73099,340,49,360,0,0,0,0,0,0,0,0,0,0,0,3755,0,240,11562
"G0101190","1870","Alabama","010","Sumter","1190","Sumter","41","1190",24109,141784,138424,3890,1684953,68844,0,472,127,334110,1822,100,0,0,0,11646,2513,2082,2784,14941,22,45270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,300
"G0101210","1870","Alabama","010","Talladega","1210","Talladega","41","1210",18064,81579,118821,4103,940662,44857,0,69321,1038,284783,42821,0,0,0,225,5697,5784,644,772,14469,8,53167,300,100,75,0,0,15,0,0,0,0,0,0,0,280,819,0,60,3520
