GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOT001,APP001,APP002,APP003,APP004
"G0100750","1880","Alabama","010","Lamar","0750","Lamar","41","750",12142,9967,2173,0,2
"G0100770","1880","Alabama","010","Lauderdale","0770","Lauderdale","41","770",21035,14173,6860,0,2
"G0100790","1880","Alabama","010","Lawrence","0790","Lawrence","41","790",21392,12642,8750,0,0
"G0100810","1880","Alabama","010","Lee","0810","Lee","41","810",27262,12217,15041,0,4
"G0100830","1880","Alabama","010","Limestone","0830","Limestone","41","830",21600,11637,9963,0,0
"G0100850","1880","Alabama","010","Lowndes","0850","Lowndes","41","850",31176,5645,25528,0,3
"G0100870","1880","Alabama","010","Macon","0870","Macon","41","870",17371,4587,12784,0,0
"G0100890","1880","Alabama","010","Madison","0890","Madison","41","890",37625,18591,19034,0,0
"G0100910","1880","Alabama","010","Marengo","0910","Marengo","41","910",30890,7277,23612,0,1
"G0100930","1880","Alabama","010","Marion","0930","Marion","41","930",9364,8841,520,0,3
"G0100950","1880","Alabama","010","Marshall","0950","Marshall","41","950",14585,13084,1496,0,5
"G0100970","1880","Alabama","010","Mobile","0970","Mobile","41","970",48653,27187,21443,4,19
"G0100990","1880","Alabama","010","Monroe","0990","Monroe","41","990",17091,7780,9234,0,77
"G0101010","1880","Alabama","010","Montgomery","1010","Montgomery","41","1010",52356,13457,38899,0,0
"G0101030","1880","Alabama","010","Morgan","1030","Morgan","41","1030",16428,11758,4670,0,0
"G0101050","1880","Alabama","010","Perry","1050","Perry","41","1050",30741,7150,23591,0,0
"G0101070","1880","Alabama","010","Pickens","1070","Pickens","41","1070",21479,9132,12347,0,0
"G0101090","1880","Alabama","010","Pike","1090","Pike","41","1090",20640,14368,6272,0,0
"G0101110","1880","Alabama","010","Randolph","1110","Randolph","41","1110",16575,13155,3420,0,0
"G0101130","1880","Alabama","010","Russell","1130","Russell","41","1130",24837,6182,18655,0,0
"G0101150","1880","Alabama","010","St Clair","1150","St Clair","41","1150",14462,11621,2834,0,7
"G0101170","1880","Alabama","010","Shelby","1170","Shelby","41","1170",17236,12253,4983,0,0
"G0101190","1880","Alabama","010","Sumter","1190","Sumter","41","1190",28728,6451,22277,0,0
"G0101210","1880","Alabama","010","Talladega","1210","Talladega","41","1210",23360,10856,12504,0,0
"G0101230","1880","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",23401,16108,7293,0,0
"G0101250","1880","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",24957,15216,9741,0,0
"G0101270","1880","Alabama","010","Walker","1270","Walker","41","1270",9479,8978,501,0,0
"G0101290","1880","Alabama","010","Washington","1290","Washington","41","1290",4538,2807,1729,0,2
"G0101310","1880","Alabama","010","Wilcox","1310","Wilcox","41","1310",31828,6711,25117,0,0
"G0101330","1880","Alabama","010","Winston","1330","Winston","41","1330",4253,4236,17,0,0
"G0250055","1880","Alaska Territory","025","Northern District","0055","Northern District","81","2900",9964,18,0,0,9946
"G0250095","1880","Alaska Territory","025","Southern District","0095","Southern District","81","2950",23462,412,0,0,23050
"G0450015","1880","Arizona Territory","045","Apache","0015","Apache","61","10",5283,3398,4,62,1819
"G0450135","1880","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",5689,5030,9,164,486
"G0450155","1880","Arizona Territory","045","Mohave","0155","Mohave","61","150",1190,876,13,15,286
"G0450195","1880","Arizona Territory","045","Pima","0195","Pima","61","190",17006,15609,76,1155,166
"G0450215","1880","Arizona Territory","045","Pinal","0215","Pinal","61","210",3044,2930,22,64,28
"G0450255","1880","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",5013,4788,31,140,54
"G0450275","1880","Arizona Territory","045","Yuma","0275","Yuma","61","270",3215,2529,0,32,654
"G0500010","1880","Arkansas","050","Arkansas","0010","Arkansas","42","10",8038,4971,3067,0,0
"G0500030","1880","Arkansas","050","Ashley","0030","Ashley","42","30",10156,5026,5130,0,0
"G0500050","1880","Arkansas","050","Baxter","0050","Baxter","42","50",6004,5959,45,0,0
"G0500070","1880","Arkansas","050","Benton","0070","Benton","42","70",20328,20167,128,0,33
"G0500090","1880","Arkansas","050","Boone","0090","Boone","42","90",12146,12058,88,0,0
"G0500110","1880","Arkansas","050","Bradley","0110","Bradley","42","110",6285,4075,2210,0,0
"G0500130","1880","Arkansas","050","Calhoun","0130","Calhoun","42","130",5671,3583,2088,0,0
"G0500150","1880","Arkansas","050","Carroll","0150","Carroll","42","150",13337,13272,60,0,5
"G0500170","1880","Arkansas","050","Chicot","0170","Chicot","42","170",10117,1563,8495,59,0
"G0500190","1880","Arkansas","050","Clark","0190","Clark","42","190",15771,10567,5203,0,1
"G0500210","1880","Arkansas","050","Clay","0210","Clay","42","210",7213,7191,22,0,0
"G0500270","1880","Arkansas","050","Columbia","0270","Columbia","42","270",14090,8587,5503,0,0
"G0500290","1880","Arkansas","050","Conway","0290","Conway","42","290",12755,9546,3206,0,3
"G0500310","1880","Arkansas","050","Craighead","0310","Craighead","42","310",7037,6776,261,0,0
"G0500330","1880","Arkansas","050","Crawford","0330","Crawford","42","330",14740,13332,1392,0,16
"G0500350","1880","Arkansas","050","Crittenden","0350","Crittenden","42","350",9415,1899,7516,0,0
"G0500370","1880","Arkansas","050","Cross","0370","Cross","42","370",5050,3261,1789,0,0
"G0500390","1880","Arkansas","050","Dallas","0390","Dallas","42","390",6505,4299,2206,0,0
"G0500410","1880","Arkansas","050","Desha","0410","Desha","42","410",8973,2452,6514,0,7
"G0500415","1880","Arkansas","050","Dorsey","0415","Dorsey","42","250",8370,6041,2329,0,0
"G0500430","1880","Arkansas","050","Drew","0430","Drew","42","430",12231,6472,5759,0,0
"G0500450","1880","Arkansas","050","Faulkner","0450","Faulkner","42","450",12786,11368,1418,0,0
"G0500470","1880","Arkansas","050","Franklin","0470","Franklin","42","470",14951,14455,493,0,3
"G0500490","1880","Arkansas","050","Fulton","0490","Fulton","42","490",6720,6684,36,0,0
"G0500510","1880","Arkansas","050","Garland","0510","Garland","42","510",9023,7457,1562,4,0
"G0500530","1880","Arkansas","050","Grant","0530","Grant","42","530",6185,5629,556,0,0
"G0500550","1880","Arkansas","050","Greene","0550","Greene","42","550",7480,7405,75,0,0
"G0500570","1880","Arkansas","050","Hempstead","0570","Hempstead","42","570",19015,9593,9421,0,1
"G0500590","1880","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",7775,7030,745,0,0
"G0500610","1880","Arkansas","050","Howard","0610","Howard","42","610",9917,7409,2508,0,0
"G0500630","1880","Arkansas","050","Independence","0630","Independence","42","630",18086,16703,1382,0,1
"G0500650","1880","Arkansas","050","Izard","0650","Izard","42","650",10857,10635,222,0,0
"G0500670","1880","Arkansas","050","Jackson","0670","Jackson","42","670",10877,8113,2763,1,0
"G0500690","1880","Arkansas","050","Jefferson","0690","Jefferson","42","690",22386,5331,17011,43,1
"G0500710","1880","Arkansas","050","Johnson","0710","Johnson","42","710",11565,11073,491,0,1
"G0500730","1880","Arkansas","050","Lafayette","0730","Lafayette","42","730",5730,2116,3614,0,0
"G0500750","1880","Arkansas","050","Lawrence","0750","Lawrence","42","750",8782,8315,467,0,0
"G0500770","1880","Arkansas","050","Lee","0770","Lee","42","770",13288,4138,9150,0,0
"G0500790","1880","Arkansas","050","Lincoln","0790","Lincoln","42","790",9255,4212,5040,0,3
"G0500810","1880","Arkansas","050","Little River","0810","Little River","42","810",6404,3064,3335,0,5
"G0500830","1880","Arkansas","050","Logan","0830","Logan","42","830",14885,13901,984,0,0
"G0500850","1880","Arkansas","050","Lonoke","0850","Lonoke","42","850",12146,8143,4003,0,0
