GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,slavery_legal,total_farmland
G4700290,1850,Tennessee,8300,719,712724,48554,119293,1,NA
G1700510,1850,Illinois,8075,0,640085,38258,100529,0,NA
G1800430,1850,Indiana,14875,0,955500,24742,33174,0,NA
G0500430,1850,Arkansas,3276,915,133637,11854,23770,1,NA
G3701110,1850,North Carolina,6246,1262,557533,29636,119657,1,NA
G1801010,1850,Indiana,5941,0,357389,23982,47337,0,NA
G0900150,1850,Connecticut,31081,0,6816362,212146,86510,0,NA
G1800010,1850,Indiana,5797,0,612250,22760,50850,0,NA
G2900550,1850,Missouri,6397,285,278175,26912,39564,1,NA
G5100730,1850,Virginia,10527,5557,1526584,64515,60111,1,NA
G4701450,1850,Tennessee,12185,1544,1005466,66440,174443,1,NA
G4701830,1850,Tennessee,14608,3070,807816,61933,192445,1,NA
G1301690,1850,Georgia,10224,6279,1247920,138972,99617,1,NA
G1200950,1850,Florida,466,226,60000,963,4083,1,NA
G4200990,1850,Pennsylvania,20088,0,3317790,111292,104969,0,NA
G4800970,1850,Texas,220,1,5250,433,34922,1,NA
G4801470,1850,Texas,3788,528,267040,14118,127462,1,NA
G1800110,1850,Indiana,11631,0,1482275,54593,109841,0,NA
G1301790,1850,Georgia,7926,5908,776650,38563,303518,1,NA
G2901510,1850,Missouri,6704,270,332387,23324,50232,1,NA
G3400130,1850,New Jersey,73950,6,6988985,76949,23407,0,NA
G2100450,1850,Kentucky,6556,634,682902,49594,140339,1,NA
G1201290,1850,Florida,1955,790,62370,7018,5932,1,NA
G3901270,1850,Ohio,20775,0,3185109,103668,78707,0,NA
G2101230,1850,Kentucky,5859,672,510300,32961,75335,1,NA
G4701750,1850,Tennessee,2674,175,140287,12115,164851,1,NA
G3600930,1850,New York,20054,0,3820430,76939,28892,0,NA
