year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Ohio,0,G3901050,11.307684910429717,1
1850,Texas,1,G4800655,1.6896195324979033,0
1850,Mississippi,1,G2801350,5.949705936651107,0
1850,New York,0,G3600670,39.61096776141449,0
1850,Virginia,1,G5101910,8.261881303253906,0
1850,Utah Territory,0,G4950615,3.9344262295081966,0
1850,North Carolina,1,G3700510,2.040311438037726,0
1850,South Carolina,1,G4500310,4.280612444806124,0
1850,New Hampshire,0,G3300090,11.789586889980221,0
1850,Alabama,1,G0100050,5.215149638693183,0
1850,Michigan,0,G2600770,13.271605734859532,0
1850,Texas,1,G4804710,0.947481389939914,0
1850,New York,0,G3600750,22.124878881303676,0
1850,California,0,G0600850,NA,0
1850,Pennsylvania,0,G4200330,9.62504269723322,0
1850,Texas,1,G4803550,1.139867134118737,0
1850,Missouri,1,G2901230,6.7358295182036185,0
1850,Tennessee,1,G4700490,1.7837581311622959,0
1850,North Carolina,1,G3700870,1.1719406807329715,0
1850,Tennessee,1,G4701790,8.377833293913591,0
1850,Indiana,0,G1801690,12.724693646380393,0
1850,Virginia,1,G5100350,2.84235868686695,0
1850,Mississippi,1,G2800010,13.013474023133323,0
1850,New York,0,G3600110,37.85815165020477,0
1850,Texas,1,G4804030,0.9001209352013929,0
1850,Illinois,0,G1701330,6.341775486726441,1
1850,Missouri,1,G2901050,6.17797667713757,0
1850,Kentucky,1,G2101630,5.245437782683832,1
1850,Georgia,1,G1300550,7.323911041660853,0
1850,Texas,1,G4800370,0.5286999602192736,0
1850,Kentucky,1,G2101370,13.653325925129344,0
1850,Virginia,1,G5100310,8.42353426596808,0
1850,Kentucky,1,G2101710,3.3078681850365825,0
1850,Illinois,0,G1701150,7.619833189642646,0
1850,Iowa,0,G1901070,5.591098898461686,0
1850,Missouri,1,G2900090,5.829297775091603,0
1850,Iowa,0,G1900110,3.66068502130449,0
1850,Virginia,1,G5101930,8.463117999338854,0
1850,Kentucky,1,G2100830,2.706234003015322,0
1850,North Carolina,1,G3700890,2.4621024977453634,0
1850,Virginia,1,G5101170,6.257243008998833,0
1850,Pennsylvania,0,G4201050,9.135840425930786,0
1850,Ohio,0,G3900030,11.862271327658034,0
1850,Arkansas,1,G0500890,5.456579416306973,0
1850,Mississippi,1,G2801030,5.693318006896896,0
1850,Illinois,0,G1700430,11.78610475070652,0
1850,Connecticut,0,G0900110,25.681604723755633,0
1850,Virginia,1,G5100490,8.49630167113841,0
1850,North Carolina,1,G3701710,2.3659569343890845,0
1850,Virginia,1,G5101490,4.843737656494187,0
1850,Tennessee,1,G4701150,2.6748282601703792,0
1850,Indiana,0,G1800950,10.49091509191197,0
1850,Vermont,0,G5000170,13.879335679375519,0
1850,Alabama,1,G0101030,5.352675148552808,0
1850,New Jersey,0,G3400170,174.90532090608778,0
