spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
3,msesum,triangular,TRUE,1850,-0.087511017175368,0.16764980656698053,0.6016793919729191,337,373,173.29843474187084,173.29843474187084,-0.05400805612294717,-0.03419113035877176,-6.622906495808555e-4,NA
4,msesum,triangular,TRUE,1850,-0.4479302941616739,0.15622324543998894,0.004140625444920776,307,350,156.80032597611464,156.80032597611464,-0.04287051487695613,-0.009750710292539957,-2.7584112119945876e-4,0.029099846990423308
1,cerrd,triangular,TRUE,1850,-0.03256671669331146,0.15322783457987782,0.8316874411327091,282,297,120.64404008500557,120.64404008500557,NA,NA,NA,NA
2,cerrd,triangular,TRUE,1850,-0.01017763607914672,0.1559130578790475,0.9479529470240838,265,276,112.67658429441354,112.67658429441354,-0.04148927428699632,0.008005907971426647,-0.0013280876077245527,NA
3,cerrd,triangular,TRUE,1850,-0.031376144827789464,0.23301805265812836,0.8928877113261166,202,271,107.82899379735662,107.82899379735662,-0.047011815104551005,-0.013959417061881627,-8.578960689516022e-4,NA
4,cerrd,triangular,TRUE,1850,-0.7030307141325555,0.22372794532408563,0.0016759959660475226,164,228,90.89235110400098,90.89235110400098,-0.041650135445100656,0.014961455777445327,-5.764782219876527e-4,0.04229673050058022
1,certwo,triangular,TRUE,1850,-0.08036845313874119,0.14618896192670516,0.5824858302059386,269,354,158.0592994085446,116.34560236621186,NA,NA,NA,NA
2,certwo,triangular,TRUE,1850,-0.006989923692031434,0.15144365913788851,0.9631864900598193,338,261,103.47390030321984,146.99971634143068,-0.04432065706281031,-0.011940156508272771,-8.753281042562905e-4,NA
3,certwo,triangular,TRUE,1850,-0.0012325267993333958,0.20807453555219307,0.9952737688423612,246,264,105.63792869140319,128.87928650236805,-0.048284942408567975,-0.025278404512500532,-6.321346444193687e-4,NA
4,certwo,triangular,TRUE,1850,-0.4875762691740229,0.1742284618742632,0.0051342468631624455,254,276,112.60770214436502,134.1028423217527,-0.041863711200436526,-0.005045055924649124,-2.486338290208516e-4,0.032957849313062754
1,cersum,triangular,TRUE,1850,-0.030280791452363065,0.15259307595530391,0.8426996887794649,287,298,121.7898873065272,121.7898873065272,NA,NA,NA,NA
2,cersum,triangular,TRUE,1850,-0.008629419458642935,0.152660629102036,0.9549221327229175,281,293,119.65995662209413,119.65995662209413,-0.0426451085914178,0.003736428506884,-0.0012817079245219924,NA
3,cersum,triangular,TRUE,1850,-0.013386179583590322,0.21536883618385536,0.9504396583780005,225,297,120.3698131246087,120.3698131246087,-0.048777719494303165,-0.019869069500277427,-8.283746308245987e-4,NA
4,cersum,triangular,TRUE,1850,-0.5530828070942841,0.1933086719747195,0.004221231279396946,205,272,108.9105390001683,108.9105390001683,-0.04205721106393937,0.004399614509477248,-4.907829057290291e-4,0.03775928329439898
1,mserd,uniform,TRUE,1850,-0.19068737233453348,0.1259711881234753,0.13009230712223144,358,345,153.72955412734132,153.72955412734132,NA,NA,NA,NA
2,mserd,uniform,TRUE,1850,-0.04374496687474777,0.1367506488590735,0.7490528174115642,302,306,128.72126435697936,128.72126435697936,-0.053594191848324216,-0.029668950808062783,-7.985909538319182e-4,NA
3,mserd,uniform,TRUE,1850,-0.10192025469058828,0.17908170667868994,0.5692698798181959,245,306,128.61168289688842,128.61168289688842,-0.057099160844536034,-0.041494392069731684,-5.757535495466339e-4,NA
4,mserd,uniform,TRUE,1850,-0.3520948935563746,0.17206246335141467,0.04072487805359998,222,293,119.27240897714957,119.27240897714957,-0.0459953180883653,-0.016637541244985808,-3.3782584177680195e-4,0.025586206049782286
1,msetwo,uniform,TRUE,1850,-0.19334738902704718,0.12748706383237504,0.1293666987086026,310,357,161.47642620909437,132.9349587736057,NA,NA,NA,NA
2,msetwo,uniform,TRUE,1850,-0.12104154695006675,0.12932131076524853,0.3492859278216624,370,316,133.4478335608595,159.2361707080544,-0.054554979717198956,-0.030984152722859593,-8.232997820623992e-4,NA
3,msetwo,uniform,TRUE,1850,-0.14187625037456447,0.15514414456620168,0.360464570389473,318,326,137.96163560462128,162.54651808747028,-0.05715225595985539,-0.040143889592446635,-6.648985945450804e-4,NA
4,msetwo,uniform,TRUE,1850,-0.4663691708596105,0.14856817000736253,0.0016947216573654556,276,331,140.49147261891588,143.64870274634333,-0.043378338917659215,-0.0229019532325263,-7.627652202714364e-5,0.023330112207138036
1,msesum,uniform,TRUE,1850,-0.13252196008519856,0.13484019388857274,0.3257021671503057,308,314,132.24027876070167,132.24027876070167,NA,NA,NA,NA
2,msesum,uniform,TRUE,1850,-0.13036474705898687,0.12729516742031322,0.305781492003937,347,341,149.66888464344132,149.66888464344132,-0.054296623594947,-0.03234208382096945,-7.86945957582766e-4,NA
3,msesum,uniform,TRUE,1850,-0.12988659956621296,0.16077494426908118,0.4191606053806245,292,341,150.05891156700156,150.05891156700156,-0.0575228171976632,-0.043095532207857654,-5.871801819566378e-4,NA
4,msesum,uniform,TRUE,1850,-0.31261729055434523,0.17498761014984424,0.07401655763445789,219,286,118.38991772230908,118.38991772230908,-0.045115122091566186,-0.01659993977473964,-3.4304927530701287e-4,0.025850659556602977
1,cerrd,uniform,TRUE,1850,0.006817629597735575,0.15239609777295762,0.9643175410216411,256,266,106.55293472071402,106.55293472071402,NA,NA,NA,NA
2,cerrd,uniform,TRUE,1850,-0.007472962225696539,0.16021370420883732,0.9627971910540128,217,226,89.2367687669583,89.2367687669583,-0.04291711724481717,-0.018019542044511144,-9.474829460325187e-4,NA
3,cerrd,uniform,TRUE,1850,-0.04387304821282748,0.2374312791264552,0.8533999553135091,160,226,89.33124098321424,89.33124098321424,-0.04724065933621339,-0.03493600902287987,-6.001540928096578e-4,NA
4,cerrd,uniform,TRUE,1850,-0.594658515279573,0.21041729405351728,0.0047119809741076836,145,211,82.84435806293311,82.84435806293311,-0.042284610626803165,-0.008499716794230443,-1.877580436483923e-4,0.038954130559834876
1,certwo,uniform,TRUE,1850,-0.03744466613683528,0.15492710658350625,0.8090187093891965,223,274,111.92244196935272,92.13979748208737,NA,NA,NA,NA
2,certwo,uniform,TRUE,1850,-0.004751293254743513,0.15257041274088898,0.9751565798221611,263,232,92.5134904897807,110.39140592500006,-0.045112089452643916,-0.030208068161922945,-6.621863420114933e-4,NA
3,certwo,uniform,TRUE,1850,-0.01723333225250229,0.20233997149954022,0.9321260955279103,208,241,95.82554118754155,112.90173529488511,-0.04921511043175745,-0.04467210816597266,-2.877965007757927e-4,NA
