point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
27,-0.03665260157702433,0.10419563635396886,0.7250128997805496,75,84,152.14304405575638,152.14304405575638,0.10800090376062804,-0.010205431076534252,0.030712262383372747,8.53272270267492e-4
28,0.21322804327792166,0.10976069775781064,0.05205689294599606,79,112,169.64254388913253,169.64254388913253,0.08497263930283555,-0.03200631089434624,0.029020625037617768,9.336448306450848e-4
29,0.22049468135504802,0.10544909683634154,0.03652753703355872,80,121,177.1028015634494,177.1028015634494,0.07147863126484454,-0.04186792159156979,0.029733902355304043,0.001074450927117516
30,-0.035265469734616806,0.12774780470855981,0.7825055252705422,111,104,182.17353378122985,182.17353378122985,0.059920436984127634,-0.051264986889754185,0.031926786134288836,0.00137506035615969
31,-0.2726352448389582,0.15154202356331334,0.07200704852705658,116,81,174.16955867736445,174.16955867736445,0.042991481703677725,-0.06385457844960023,0.032200581164418436,8.047759885827627e-4
32,-0.5281828492098521,0.20365912462123575,0.009501415857207504,77,39,137.9884090132472,137.9884090132472,0.005413451671527705,-0.08242821110820046,0.02895024731169116,-4.220691114930888e-4
33,0.05023108874975995,0.17700196885399402,0.7765726173684769,106,33,149.60238692643364,149.60238692643364,-0.009902014701686238,-0.08267624667734147,0.030260892543932008,2.5146070794143747e-5
34,-0.02815122657123998,0.2074053668404893,0.892034364191155,63,30,127.80776343836361,127.80776343836361,-0.039983892677823624,-0.08623593881613541,0.03276932385397332,-4.0836122349878273e-4
35,0.3145659421199769,0.290975499467391,0.27966435830994413,49,24,120.45201205074477,120.45201205074477,-0.02027979447688605,-0.0791921891529537,0.015914578556662194,1.6234716441540487e-5
36,0.27773717382068136,0.1896682442083855,0.1431034098384642,55,48,143.13066886507784,143.13066886507784,0.02853060825323491,-0.06516800190006355,0.007385923632690166,6.813453978978792e-4
37,0.1979015578321185,0.19373413402586487,0.30701237857456615,42,42,137.0832156173146,137.0832156173146,0.038042327828101845,-0.06690065017176,0.0102158582731771,4.929711434170607e-4
38,0.1293745567087304,0.22747203108729058,0.5695262910682752,35,55,141.01226712107297,141.01226712107297,-0.004627915550827585,-0.08759922049665284,0.038319929585787026,-3.951282919494801e-5
39,0.5702488231046067,0.30753065395430346,0.06369870177336243,32,69,155.9459402828067,155.9459402828067,0.01563838299398662,-0.053421757726464486,0.030252845696593055,6.193264574538859e-6
40,1.1514633813864232,0.3742601761952372,0.0020934880677066403,33,76,169.5945991202913,169.5945991202913,0.035053562560827055,-0.022186243448421555,0.03283592764224062,1.9059905563902904e-4
41,0.13935993066818156,0.3123789958449836,0.6555072992317035,40,61,152.52355151406948,152.52355151406948,0.007842687971554296,-0.0671387144736999,0.03572565734575889,-2.450348141657052e-4
42,-0.7068352535805481,0.3698608169313107,0.055993729943732425,53,52,151.2587229174706,151.2587229174706,0.021236471129993995,-0.0655868146869138,0.013777282800703304,-3.304584234914683e-4
43,-1.5665482477812862,0.43546195721841063,3.2136464001259276e-4,55,36,141.16088290189003,141.16088290189003,0.053482788757117566,-0.03968897438764446,-0.008371302495313954,-3.2420886377364797e-4
44,-1.156445331096354,0.24617374100622227,2.631339322140312e-6,84,49,168.72134843671748,168.72134843671748,0.04872049578370255,-0.11458535705368056,-0.03276131322278094,-4.8224300624938234e-4
45,-0.24145383681893262,0.26598849123641916,0.36400478966091643,100,65,184.84059916644884,184.84059916644884,0.033522282164808945,-0.10155032724714985,-0.02906610457062436,-9.021756878009705e-4
46,0.725000518254051,0.49531911739168716,0.14327487254771856,68,54,161.99245307461018,161.99245307461018,0.024306343013997568,-0.11872603744388599,-0.015427409955853627,-1.253331058152004e-4
47,1.4770522866833886,0.6095445072495127,0.015384173760828596,62,66,166.83184706673185,166.83184706673185,0.08515891817448484,-0.04509615675206857,-0.0172834195444913,-0.001869665488913431
48,1.1787095599188813,0.5667106057769886,0.03753338331282352,62,74,188.64784151447824,188.64784151447824,0.10770417671198418,-0.05406618097339272,-0.024336478865379606,-0.0030455697553404505
49,0.9720847030414774,0.48209521364125335,0.043760784905975667,69,69,189.63987099501549,189.63987099501549,0.1175208391620624,-0.059456868266065166,-0.025864390281219708,-0.003382702652914669
50,0.8537003198979249,0.46368642404378707,0.06560461655657107,64,48,175.39393551376602,175.39393551376602,0.13589321324387066,0.005368727927797634,-0.032368415472241854,-0.0061377790997714735
