point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
13,0.14855263157690707,0.1738571198625456,0.3928543783727763,63,58,151.16405481703026,151.16405481703026,0.06809784507992295,0.04414877094538869,0.0014045833071958957,-0.005905824395607313
14,-0.21152598463760336,0.18372226397996547,0.24959419312609948,38,31,108.96980194032342,108.96980194032342,0.06649651268091224,0.027436621458540325,0.0027000899316057874,0.0015563974422309664
15,-0.1673057688023919,0.09109396395751755,0.0662647595811061,75,41,149.06060590801488,149.06060590801488,0.07434839653565219,-0.013150790757480013,0.004001608912449748,0.009681302483084948
16,-0.31533406705510025,0.10825313261780606,0.0035805200089296866,52,26,115.26810564868647,115.26810564868647,0.060582468221837216,-0.03636426982524651,0.004026835770412899,0.01147677698300599
17,-0.3628394094111282,0.15706127549311003,0.020878334592087575,38,22,98.12294659459995,98.12294659459995,0.05752392532129583,-0.029655238791223962,0.0025575010333234354,0.024096966751594343
18,-0.3673692147350888,0.13977983505437305,0.008583829847425797,33,29,97.68228578675767,97.68228578675767,0.0501562799018629,-0.010569550244392868,9.818227345675268e-4,0.027635940849020497
19,-0.4802766729116046,0.13039314939453187,2.302368049713536e-4,35,40,105.03156629395853,105.03156629395853,0.05688224824657134,0.015944322822868298,-4.8128621116800066e-5,0.028102400017043686
20,-1.0930882917443205,0.26245737633319227,3.11595380720832e-5,16,32,80.97117270598619,80.97117270598619,0.057572611348422356,0.01901872097672303,0.008087262554038945,0.0331753180540076
21,-0.7587358551521776,0.18670624198650743,4.828127539922088e-5,15,24,75.2734333275495,75.2734333275495,0.053126864693257246,0.04820525768880023,0.0051486898881812244,0.02165732938626813
22,-1.0917075955747557,0.31179670198194415,4.6291742901964e-4,33,36,97.48611438914196,97.48611438914196,0.07545692356883223,0.03736627315996943,0.0035862153298087357,0.03714736807955296
23,-1.110114041555463,0.23312608536151397,1.9181567777069107e-6,105,87,157.26192344701238,157.26192344701238,0.15897690183841998,0.07544234654602498,0.0033122435460511725,0.04225695103495264
24,-0.7293875737908324,0.22537160836064507,0.001210572272449489,140,142,196.82930449734562,196.82930449734562,0.15222789131719458,0.0755965318819202,0.002144893406140044,0.04618169690278663
25,-1.0385646331186007,0.305684518131973,6.800338237359552e-4,86,66,137.72990633017756,137.72990633017756,0.21694617318185586,0.08700930040888812,0.003173118659402372,0.03804127353109703
26,-0.47713808078423814,0.18986250065436558,0.01196850011097732,79,83,141.61114154245655,141.61114154245655,0.15398925685818013,0.06691351538987207,0.002900649391220853,0.03246923255257306
27,-0.34443623588197686,0.18301076870403402,0.05982861989757378,77,96,147.48909598123086,147.48909598123086,0.09786430837815865,0.02208694923943065,0.0026295008451631195,0.031226982964637183
28,-0.4052066119408183,0.28747153165452766,0.15867145423782353,62,97,140.10696707348174,140.10696707348174,0.054540341507678544,-9.914992712682091e-4,0.0021683430803362217,0.03369173889042387
29,-0.7945070560798072,0.264299768066279,0.00264636697821918,47,79,124.16038627284989,124.16038627284989,0.05529393946533822,-0.0030569016347299083,-6.019966364031698e-4,0.03639622431992952
30,-0.8216109775656331,0.24394285494278845,7.570271567286037e-4,74,79,139.54566709149742,139.54566709149742,0.072975161660633,-0.034186798182600786,-0.0030336112301036842,0.03267546343424277
31,-0.8352046207093966,0.20691097255120974,5.424505320820146e-5,125,108,184.25916289486133,184.25916289486133,0.033736429639452455,-0.07225123611911233,4.584752476188597e-4,0.032461224863936454
