bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
certwo,epanechnikov,1860,3,-0.20902005550705247,0.3415267707941655,0.5405267700003633,344,122,60.363425881214255,153.42675849086493,-0.07141988521854414,-1.7167169987026415e-5,NA
cersum,epanechnikov,1860,3,-0.3213824636858666,0.33225565397695833,0.33340676442302647,139,141,67.18287279051003,67.18287279051003,-0.056653779387628375,-4.1105197769283636e-5,NA
mserd,triangular,1860,4,-0.3226452022887812,0.1209516085288099,0.007640513003154763,274,284,93.85176072241183,93.85176072241183,-0.01807452672937689,-4.44110918430431e-4,0.029719102580369444
msetwo,triangular,1860,4,-0.35742990961528165,0.11245365659718323,0.0014805755544065437,341,300,99.89229852602897,122.46774151739423,-0.022047657345262983,-3.1514880656831497e-4,0.030099957470112175
msesum,triangular,1860,4,-0.44576246448261464,0.09079119215850702,9.119048139771139e-7,456,448,171.74853102198026,171.74853102198026,-0.021883447732212957,-4.723660885147398e-4,0.026411301836810744
cerrd,triangular,1860,4,-0.23023730118951136,0.14283407749220456,0.10697905231274088,203,199,64.26164412731725,64.26164412731725,-0.010960244630412931,-5.841958167711601e-4,0.024912989194950556
certwo,triangular,1860,4,-0.3119507416014793,0.13377269761648267,0.01970351856052348,253,216,68.39768683643346,83.85541583758173,-0.015494506034756637,-4.445655164485103e-4,0.0289190235596413
cersum,triangular,1860,4,-0.36122161961725685,0.10950319794176668,9.712285100019142e-4,327,342,117.59867790406196,117.59867790406196,-0.01921561559681379,-5.300595548205774e-4,0.029699468641635834
mserd,uniform,1860,4,-0.3375845368590242,0.12168767676758455,0.005533962594561952,230,228,73.21403308534093,73.21403308534093,-0.025572537212192412,-1.9639285836072103e-4,0.032979161881547495
msetwo,uniform,1860,4,-0.43022663869200617,0.11708345066051402,2.3828775210042846e-4,250,253,80.39204849814617,82.06194515289589,-0.022793322824557476,-3.61296318837832e-4,0.03442911834475099
msesum,uniform,1860,4,-0.3571917340016244,0.10462259582211149,6.399369034786209e-4,319,330,111.53622845659392,111.53622845659392,-0.02212534104903595,-6.136790495751355e-4,0.02836346217522587
cerrd,uniform,1860,4,-0.23944725344949322,0.14646562704597557,0.10208346961167755,168,163,50.1306965691512,50.1306965691512,-0.01911618211108411,-2.308072754433935e-4,0.030950090883858417
certwo,uniform,1860,4,-0.3517375456730695,0.14139928139396338,0.012862697690306249,185,184,55.04558648115193,56.1889886265237,-0.02003413758658304,-2.7749928302617656e-4,0.03315800200187495
cersum,uniform,1860,4,-0.33893674860827794,0.1191311797690323,0.004440142667439208,236,238,76.3704523517713,76.3704523517713,-0.024075852568777444,-2.588359975628121e-4,0.033836068177627646
mserd,epanechnikov,1860,4,-0.3544888970084704,0.12193898141832048,0.0036479575467657627,261,269,86.20293181236245,86.20293181236245,-0.02003944674133224,-3.615892991275398e-4,0.0314076770334634
msetwo,epanechnikov,1860,4,-0.4701651552860517,0.10490908696000668,7.407031037000645e-6,439,278,91.80102028206764,163.6638204383005,-0.0297587425631718,4.4771561329753386e-5,0.028350264265753194
msesum,epanechnikov,1860,4,-0.44389680975788576,0.09247578179366178,1.5855380490932898e-6,418,418,153.73509729993467,153.73509729993467,-0.02264116726086179,-4.721454583146668e-4,0.027614929023863803
cerrd,epanechnikov,1860,4,-0.2525342857677414,0.14421133915101653,0.07992174822272971,190,190,59.0243814736934,59.0243814736934,-0.012218731940267215,-5.437078779069108e-4,0.02691560633608058
certwo,epanechnikov,1860,4,-0.4130942259836907,0.12606195153396424,0.0010494817625126298,321,196,62.85747278987503,112.06296082851945,-0.02368617334566782,-2.1541110932290857e-4,0.03189944264782407
cersum,epanechnikov,1860,4,-0.37065173805668206,0.11104003419939461,8.438346522204907e-4,305,320,105.26462195831473,105.26462195831473,-0.021671960593885337,-4.4363705075837513e-4,0.0315029999911926
