spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
2,certwo,triangular,TRUE,1900,0.01861456958528733,0.11082402490568201,0.8666107268933976,371,172,65.3283567595518,135.98794081372182,0.027217513358903548,-0.06493634514838222,3.7302248974696757e-4,NA
3,certwo,triangular,TRUE,1900,-0.10454060278274556,0.12814591049054536,0.41461824277205467,277,172,65.3793142010882,121.74051546956561,0.020680810086232886,-0.07070540848166157,4.0522018804274953e-4,NA
4,certwo,triangular,TRUE,1900,-0.142878117365299,0.1321889479187347,0.2797581449727112,235,171,65.18861633692431,105.98498043826314,0.03246102982146281,-0.05318877671972861,0.01738021172521101,6.600846051771781e-4
1,cersum,triangular,TRUE,1900,0.07440308758111769,0.11142859728403524,0.5043124292070015,318,308,116.25075046767334,116.25075046767334,NA,NA,NA,NA
2,cersum,triangular,TRUE,1900,0.03179708513750145,0.12481246955219578,0.7989093353807826,221,217,78.8555315632136,78.8555315632136,0.03241529116828943,-0.053208597180618496,-1.0925682514517253e-4,NA
3,cersum,triangular,TRUE,1900,-0.2978277508252184,0.17638099845794308,0.09130611708607984,138,189,70.513537972226,70.513537972226,0.02388705363686809,-0.06187612869592801,-7.026275194527837e-5,NA
4,cersum,triangular,TRUE,1900,-0.22030919156161785,0.15553845995776083,0.1566499263927144,157,202,75.58822984613094,75.58822984613094,0.03219710470355716,-0.048709149767568426,0.018176932447719944,3.852032131408374e-4
1,mserd,uniform,TRUE,1900,0.08682388686149345,0.11000941030371898,0.4299714292576665,263,258,95.60021183913591,95.60021183913591,NA,NA,NA,NA
2,mserd,uniform,TRUE,1900,0.018089571688148696,0.11997052892496532,0.8801465325181037,194,188,68.98158448217326,68.98158448217326,0.02600367031676251,-0.06156731672816515,8.807055588188131e-5,NA
3,mserd,uniform,TRUE,1900,-0.10491390561904738,0.14140587755767697,0.4581269936028944,163,217,78.7670092013594,78.7670092013594,0.018055025757913686,-0.06641198426283998,2.8940881263891894e-4,NA
4,mserd,uniform,TRUE,1900,-0.12816649051698714,0.14176553017384635,0.36595631130945727,153,198,74.03712154858644,74.03712154858644,0.03215998273717664,-0.046114857330616314,0.021658909347983257,7.077588303260273e-4
1,msetwo,uniform,TRUE,1900,-0.21977868758058694,0.08540431360287593,0.010070737819558442,363,501,210.22455413120585,132.10604621925827,NA,NA,NA,NA
2,msetwo,uniform,TRUE,1900,-0.028939237661418916,0.10050724724819093,0.7733989058847941,437,190,70.6967408278665,157.72630564371156,0.01676869898805325,-0.07372040587883477,7.529607184438736e-4,NA
3,msetwo,uniform,TRUE,1900,-0.11031661347956395,0.11189234368327483,0.32417362610639294,347,188,70.07796213676332,148.32597000732133,0.016185583675541442,-0.0746413019149943,8.958499860502673e-4,NA
4,msetwo,uniform,TRUE,1900,-0.1358146649813415,0.11022435575074194,0.2178872117649714,297,188,68.98355746765256,130.16980368603566,0.03103075669524573,-0.05706268171596111,0.01357548576466023,0.001112568527327468
1,msesum,uniform,TRUE,1900,-0.025938723098437144,0.090466929526784,0.7743263410362599,385,366,141.06538139247868,141.06538139247868,NA,NA,NA,NA
2,msesum,uniform,TRUE,1900,0.08281559967251483,0.10702816658079999,0.43906452169646676,243,238,86.96246046041297,86.96246046041297,0.021973860312667237,-0.0580511585990676,9.969675490082894e-5,NA
3,msesum,uniform,TRUE,1900,-0.07928589258017375,0.13386697399667288,0.5536673013790823,187,239,87.86861152932332,87.86861152932332,0.016998173898977807,-0.06378524863529536,2.0620892656770737e-4,NA
4,msesum,uniform,TRUE,1900,-0.1097983360212771,0.11264915397504488,0.329712591858013,258,309,116.82861600177118,116.82861600177118,0.02026724324800481,-0.045271917438962084,0.013010296707060203,2.496155452277708e-4
1,cerrd,uniform,TRUE,1900,-0.052544876754428316,0.13757824646541073,0.7025153518213385,183,167,64.56231637321874,64.56231637321874,NA,NA,NA,NA
2,cerrd,uniform,TRUE,1900,0.029622508100594382,0.14713798678979467,0.8404447058097694,131,124,46.602171814409836,46.602171814409836,0.03490018724255324,-0.04560674411748956,-1.941313961252326e-4,NA
3,cerrd,uniform,TRUE,1900,-0.17562849285531953,0.19098343241377022,0.3577814752496138,94,147,53.274202066971704,53.274202066971704,0.029843274308448124,-0.052485037325177314,-5.9148438360293347e-5,NA
4,cerrd,uniform,TRUE,1900,-0.17314416532270333,0.1966735317434193,0.37866251502223763,85,130,50.077144705461215,50.077144705461215,0.036339169066090235,-0.05076660212069083,0.020023384606873265,4.023584423293611e-4
1,certwo,uniform,TRUE,1900,-0.0010047991400732315,0.10327523252188694,0.9922372377886219,251,366,141.9723232002457,89.21604028633814,NA,NA,NA,NA
2,certwo,uniform,TRUE,1900,0.016951812721666792,0.11749483229290471,0.8852816670125243,295,125,47.76088701804839,106.5558068930688,0.024035313134214725,-0.06888869822800484,5.459030076907321e-4,NA
3,certwo,uniform,TRUE,1900,-0.07281355231522625,0.13811652212578518,0.598062139896635,219,125,47.397350149116605,100.32052477388268,0.01887521956946192,-0.0713771318057647,5.317494926206055e-4,NA
4,certwo,uniform,TRUE,1900,-0.1486597378539315,0.14174355047436887,0.29427309357050313,186,124,46.65902073648475,88.04410489121105,0.03422280250103339,-0.05280066456791548,0.018687500450085097,8.383640859779215e-4
1,cersum,uniform,TRUE,1900,0.09851345523222754,0.11067637456290098,0.37341018347909977,262,255,95.2666067110285,95.2666067110285,NA,NA,NA,NA
2,cersum,uniform,TRUE,1900,-0.0011534255605754882,0.1363133546762595,0.9932487211752618,165,156,58.74958591053095,58.74958591053095,0.030919207894513377,-0.05486672502517348,-1.0594220765504695e-4,NA
3,cersum,uniform,TRUE,1900,-0.41089761371233496,0.23510846233945604,0.08051705432309157,109,159,59.43008644635222,59.43008644635222,0.02338559082295432,-0.06303094473742105,-8.662140073325544e-5,NA
4,cersum,uniform,TRUE,1900,-0.19523836159253402,0.13577136048664556,0.1504358404884504,162,217,79.02040742386421,79.02040742386421,0.03153191401517699,-0.04582556136835704,0.021915870780897823,7.448204072896187e-4
1,mserd,epanechnikov,TRUE,1900,0.07375595846040728,0.11494533771863026,0.5210932144569544,278,271,100.5262740869402,100.5262740869402,NA,NA,NA,NA
2,mserd,epanechnikov,TRUE,1900,0.04264164305603592,0.11264815381829513,0.7050307315101978,251,240,90.05426816050723,90.05426816050723,0.027523217741942517,-0.05656300713612746,2.863902284063369e-5,NA
3,mserd,epanechnikov,TRUE,1900,-0.07726567183600391,0.1288181046625862,0.5486365702944045,226,280,102.24252901489947,102.24252901489947,0.01802660467749,-0.06374108588816772,1.4189711097657796e-4,NA
4,mserd,epanechnikov,TRUE,1900,-0.1622993512715691,0.1314933118468465,0.21709919118188067,202,253,95.09104118449562,95.09104118449562,0.03156563468927133,-0.04659386523800905,0.020020097604588158,5.875245636070088e-4
1,msetwo,epanechnikov,TRUE,1900,-0.06785600309766782,0.09049161755238443,0.4533393021677133,425,442,179.87206989327387,152.40415614892726,NA,NA,NA,NA
2,msetwo,epanechnikov,TRUE,1900,-0.012371822726373069,0.09576183637983886,0.8972044078300825,519,239,88.8490167306585,189.988446356298,0.02046934200179322,-0.07000844958756126,6.645092824031161e-4,NA
3,msetwo,epanechnikov,TRUE,1900,-0.11235769854954,0.10845113576647192,0.3001921544704003,409,239,88.60399009798704,168.95466613711812,0.01693930320668717,-0.07315255004977,7.219301724511777e-4,NA
4,msetwo,epanechnikov,TRUE,1900,-0.14397387850455676,0.10800991918873727,0.18254196338096448,336,239,88.01433506668131,145.29373179108646,0.03081789460272269,-0.05534864805003959,0.015056424449390142,9.746807948627122e-4
1,msesum,epanechnikov,TRUE,1900,-0.09793438838019419,0.08680527132671101,0.2592321502025686,501,444,181.79790470379294,181.79790470379294,NA,NA,NA,NA
2,msesum,epanechnikov,TRUE,1900,0.09094442744826006,0.10373366280404044,0.3806437132607578,299,295,107.98251399745739,107.98251399745739,0.023362893441943186,-0.05693726844892941,3.290935377001287e-5,NA
3,msesum,epanechnikov,TRUE,1900,-0.09080169375528238,0.13235482380725386,0.49268316619409624,214,266,98.50518802081343,98.50518802081343,0.01860130188794032,-0.06419291877270916,1.5410110281575875e-4,NA
4,msesum,epanechnikov,TRUE,1900,-0.10503021919032104,0.12321918274434776,0.39400028015563626,232,285,104.5597244276193,104.5597244276193,0.029645720027564538,-0.04614134526541227,0.01857796283886691,5.287416920117694e-4
1,cerrd,epanechnikov,TRUE,1900,0.01278271176587964,0.14127568322239606,0.9279052917693011,193,183,67.88906621193316,67.88906621193316,NA,NA,NA,NA
2,cerrd,epanechnikov,TRUE,1900,0.03434476199119861,0.13625329175493767,0.8009903914254652,173,161,60.83833111316027,60.83833111316027,0.03523418226201332,-0.049112818191123016,-2.283550053202711e-4,NA
3,cerrd,epanechnikov,TRUE,1900,-0.3019528381678436,0.1798064124246912,0.09308933375176494,137,188,69.15191024523457,69.15191024523457,0.024018433703444694,-0.06138705098837303,-5.1695119172837e-5,NA
4,cerrd,epanechnikov,TRUE,1900,-0.23883622691122502,0.17234864454297283,0.16581600122725082,122,166,64.31757110470586,64.31757110470586,0.03373499930014261,-0.04615086393896509,0.018769458527000134,2.853675330996737e-4
1,certwo,epanechnikov,TRUE,1900,0.05511090990635914,0.11096146527941661,0.6194238219862422,288,325,121.47418148712991,102.92409563314841,NA,NA,NA,NA
2,certwo,epanechnikov,TRUE,1900,0.009873809907368403,0.11121391303190414,0.9292550467696902,349,161,60.02409446384282,128.35127355094417,0.025561971185810897,-0.06631652618696254,4.06627466498218e-4,NA
3,certwo,epanechnikov,TRUE,1900,-0.09256740819011043,0.13056805480895806,0.4783498697199178,258,161,59.92746100531967,114.27277886020369,0.020057898626586027,-0.07064524262156799,4.049962355272892e-4,NA
4,certwo,epanechnikov,TRUE,1900,-0.1543239412889026,0.13669664299333198,0.25891810515378993,211,159,59.53103660839581,98.27361031214514,0.03322940225952855,-0.051687731116789135,0.01862730981948095,6.57467163316209e-4
1,cersum,epanechnikov,TRUE,1900,0.06149668605244685,0.10534110749394605,0.5593641562101372,338,326,122.77476810642011,122.77476810642011,NA,NA,NA,NA
2,cersum,epanechnikov,TRUE,1900,0.013649016161940032,0.1255634012427834,0.9134387081741931,209,194,72.95018964897636,72.95018964897636,0.03185062060250099,-0.05339295654604949,-1.201884821605563e-4,NA
3,cersum,epanechnikov,TRUE,1900,-0.3051250530162764,0.18453712391281532,0.09823694968052162,131,181,66.62415323972066,66.62415323972066,0.024667968287162348,-0.06002783739428025,-9.584040499036311e-5,NA
4,cersum,epanechnikov,TRUE,1900,-0.239124973423021,0.16281697227609596,0.14192136701260494,139,190,70.7219883891476,70.7219883891476,0.03389049068623966,-0.04648499955055072,0.019497674740867915,3.969620600183235e-4
