bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
cersum,triangular,1,1850,4,-0.5190856711046051,0.2356026478394628,0.027578885920370937,449,423,184.93907335461114,184.93907335461114,0.011806610808025995,-4.14714264335793e-4,0.025987860896993183
mserd,uniform,1,1850,4,-0.5998104503718309,0.24669484599233288,0.015041171452854057,399,386,158.82856018530688,158.82856018530688,0.007081289595877487,-3.555875348925688e-4,0.02381433991279154
msetwo,uniform,1,1850,4,-0.5658169433457342,0.2495019581984599,0.023342278640050774,344,436,194.10426772482808,136.77844120714585,0.006272838642279205,-1.6546707988283123e-4,0.027304921752973145
msesum,uniform,1,1850,4,-0.5650079258715217,0.2478236655359572,0.022614876621934347,367,370,146.65932187218328,146.65932187218328,0.007729639697006362,-2.9183011685018196e-4,0.0260015466686671
cerrd,uniform,1,1850,4,-0.5400049216420542,0.24158207708026827,0.02539860930252749,337,346,132.07651450204978,132.07651450204978,0.010708875352557896,-4.159003305530738e-4,0.02643162835939493
certwo,uniform,1,1850,4,-0.5679651409605149,0.24680891759208862,0.02137839241672002,294,388,161.41061217930522,113.7403735989704,0.009077238018695238,-4.8475272202456326e-4,0.027683760103800057
cersum,uniform,1,1850,4,-0.5005783516296727,0.24457914526243416,0.04068826628454715,316,330,121.95698323722593,121.95698323722593,0.010698808487330347,-4.6114804078334674e-4,0.026525380775298642
mserd,epanechnikov,1,1850,4,-0.5689211455265566,0.24176132037292436,0.018610879532845136,477,443,197.76984021606935,197.76984021606935,0.00894534825766066,-3.950292946997923e-4,0.024447505215468714
msetwo,epanechnikov,1,1850,4,-0.5654139053127926,0.24493719274580544,0.020976697185694785,449,483,226.34619664278677,185.96036413496725,0.008503378268130956,-3.6555988312856973e-4,0.025233816552862224
msesum,epanechnikov,1,1850,4,-0.5474894742645912,0.24203190718203726,0.023694008341535684,488,455,205.33012687236817,205.33012687236817,0.009021942754632545,-4.061361791649631e-4,0.023948114593451413
cerrd,epanechnikov,1,1850,4,-0.5497374823098357,0.2382819943170669,0.021049925878353824,407,393,164.45877957270662,164.45877957270662,0.010145696666215044,-3.8950601254416034e-4,0.026740454939593334
certwo,epanechnikov,1,1850,4,-0.5638920556376037,0.24121811128787235,0.019403574390411477,389,426,188.2219210984222,154.63841453843625,0.010531154929269988,-4.117070827250221e-4,0.02736915895578189
cersum,epanechnikov,1,1850,4,-0.5411147834571115,0.23951300599788158,0.023869129656830138,421,399,170.7456609058579,170.7456609058579,0.009703237805910973,-3.866619869631275e-4,0.02625489496226324
mserd,triangular,2,1850,4,-0.3441930677589049,0.22357510273615797,0.12368315394085079,493,455,206.1016986748093,206.1016986748093,0.014123304754562749,-4.48433885946828e-4,0.02559505582419403
msetwo,triangular,2,1850,4,-0.4531133453604157,0.23165893085959305,0.050471014154540784,449,549,312.2242487277439,185.83924066364068,0.012480002567445272,-4.5462378570623285e-4,0.026320436495205237
msesum,triangular,2,1850,4,-0.3232975982078291,0.22354229312260449,0.14810765015691318,488,455,205.54124204543476,205.54124204543476,0.014145352949113395,-4.485077406703996e-4,0.025627597652415388
cerrd,triangular,2,1850,4,-0.3254073732853322,0.2231146362635303,0.1447093473730654,416,397,166.93034309571317,166.93034309571317,0.015343518337440083,-4.6834758790458497e-4,0.027652592447398296
certwo,triangular,2,1850,4,-0.4436043849636145,0.22662110419836415,0.0502920426760414,378,509,252.88341288811455,150.51893508930127,0.01554248430934086,-5.36531692195901e-4,0.028106718997534065
cersum,triangular,2,1850,4,-0.3144865271594314,0.22322858008421378,0.1588915280078144,415,395,166.4764059470467,166.4764059470467,0.015362168089486521,-4.687358662447224e-4,0.02767893207694052
mserd,uniform,2,1850,4,-0.4635686119866098,0.23710944594894662,0.050573291835749073,536,490,234.9218195231805,234.9218195231805,0.01402568673112044,-5.702915740595022e-4,0.01830619249873344
msetwo,uniform,2,1850,4,-0.4904977748227858,0.245086016991175,0.045356937044809094,497,527,275.9685565426944,211.8326445715653,0.011175619345499934,-5.628341439845703e-4,0.019712180602409937
msesum,uniform,2,1850,4,-0.4386099807212136,0.2353926658478275,0.06241838176721666,485,454,203.68892020517617,203.68892020517617,0.012732407989358192,-4.767506263009e-4,0.02136687797698556
cerrd,uniform,2,1850,4,-0.41266035129314793,0.23564556668084502,0.07991304757228296,461,431,190.27295837842038,190.27295837842038,0.01301130681519227,-4.544118331135718e-4,0.022381972800523155
certwo,uniform,2,1850,4,-0.4778989190963875,0.2329499574927389,0.04021741045074103,422,479,223.51841893349362,171.57207468239892,0.007919692908697292,-3.0884753751148216e-4,0.0238332082366655
cersum,uniform,2,1850,4,-0.3193111588015679,0.2231846543701623,0.15251509069247324,410,393,164.97613340050196,164.97613340050196,0.012993953593713187,-4.6541436371419563e-4,0.024361676357660192
mserd,epanechnikov,2,1850,4,-0.33977273376654926,0.22491196876391845,0.13086691684549032,477,443,197.95188158949546,197.95188158949546,0.012272158868322194,-4.289183886305287e-4,0.025191190288838906
msetwo,epanechnikov,2,1850,4,-0.4709662830205382,0.23156871254258998,0.041970965072215455,435,532,287.8835854254351,178.55611250811816,0.009280001660567909,-3.705251303241639e-4,0.0262567871055579
msesum,epanechnikov,2,1850,4,-0.3734017251820794,0.23004057983097526,0.10454679163048639,518,479,222.77022401966659,222.77022401966659,0.011860478604658253,-4.40925680790327e-4,0.023567856995914807
cerrd,epanechnikov,2,1850,4,-0.32578857103153924,0.2220573360829383,0.14233874522611986,401,386,160.3294670671983,160.3294670671983,0.012587583105086217,-4.3658425048124735e-4,0.027481397553494834
certwo,epanechnikov,2,1850,4,-0.4571237535343434,0.22589486249169685,0.04300999862423043,363,490,233.16889669364778,144.62002649403686,0.01227385913760265,-4.748113786732809e-4,0.02815225654169255
cersum,epanechnikov,2,1850,4,-0.3227582774248453,0.22114755152336743,0.14443571670309738,438,417,180.4308754669037,180.4308754669037,0.012444395427192098,-4.3386610450569304e-4,0.026293911926758652
