point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
22,-0.5000665226644826,0.38396167884926136,0.1927842812631358,20,23,96.51068840102828,96.51068840102828,0.09328581247433651,0.05639734118607365,0.004733893814783208,0.0469416437743446
23,-0.8799948767512475,0.1979410580101043,8.75890141734934e-6,73,54,147.68424154623895,147.68424154623895,0.12254346868731592,0.0392269765503479,0.004913812052094136,0.049916148538440674
24,-0.5381707248827822,0.18207695965460027,0.003119278431288138,57,54,134.48635723019035,134.48635723019035,0.12782476732721015,0.05717314624500289,0.005470208689424138,0.050193610834959435
25,-0.9898950413379506,0.2098899550144873,2.4022256236532046e-6,62,40,129.4154947596553,129.4154947596553,0.16483131936127812,0.05782582332048916,0.004331047625247258,0.04689062791093387
26,-0.620012802739645,0.23072308879067993,0.007204096913594686,42,39,114.65087681125836,114.65087681125836,0.13857432102559092,0.07442903209271814,0.004766395779877338,0.040741756398700125
27,-0.4552540175176326,0.1619751281827419,0.004944284246443982,36,47,115.75623013129064,115.75623013129064,0.09875210415435501,0.03690088940532457,0.004671637973327118,0.037507421885306674
28,-0.940117948849764,0.2906934815628785,0.001220470651483213,32,52,114.50398569562877,114.50398569562877,0.08700390522311297,0.038753741002638176,0.0033590260003842493,0.036316234949083405
29,-1.35091283533144,0.2565073410919381,1.389993062874855e-7,27,54,112.09345896720393,112.09345896720393,0.08880461401789899,0.04852635696634852,2.4620370339953107e-4,0.04339786833800908
30,-1.055386777378688,0.2922578249833295,3.0484254800307146e-4,38,41,116.54765587212609,116.54765587212609,0.07074257190002117,-0.04278014324050994,-0.001464648981730387,0.037831364090662165
31,-1.2193144120760533,0.26887242741494854,5.762586801132086e-6,86,80,173.566270859941,173.566270859941,0.028668974993059423,-0.0648502836908044,0.0013361758172224657,0.0444112423974157
32,-1.0438949803737576,0.34146954166776583,0.0022351493655212544,81,58,163.5083354114242,163.5083354114242,0.013868941621313476,-0.07924725691435083,5.134098727770063e-4,0.04088565131028542
33,-0.8783845661347056,0.2264478500663335,1.0489940541064043e-4,130,66,193.61831517526255,193.61831517526255,0.026127488984631957,-0.07572054436863071,4.780565685270694e-4,0.03990181419331788
34,-0.8444336383369068,0.3200546146992463,0.008329707942304906,66,42,150.23242225293012,150.23242225293012,-0.011625002398521003,-0.09140821292152317,-3.131128705053261e-4,0.03493055920187782
35,-0.8135763031453902,0.28262920091734933,0.003994451321843714,42,30,133.5489501993028,133.5489501993028,-0.008131617706186513,-0.09428130478692201,-5.339235239784582e-4,0.028288093617902098
36,-1.0501403812835197,0.23149304912597868,5.722809378375153e-6,44,56,155.66773520377672,155.66773520377672,-0.01107667318155123,-0.09270419974056304,-4.4630439255481733e-4,0.023776122197415712
37,-1.0787987183405363,0.19714089929873602,4.4442821090040643e-8,51,63,165.16798623093945,165.16798623093945,0.007907936149191067,-0.1033687884690926,-2.0705654692728304e-4,0.02459049557679517
38,-0.49764844360193966,0.3163852123683872,0.11573747859077112,23,49,136.50861438212655,136.50861438212655,0.011519315642035599,-0.12028107252709251,1.6795957981351547e-4,0.05199100902316848
39,0.3520038776504068,0.8542422581189517,0.6802913167720188,11,40,114.55538705258861,114.55538705258861,0.042311289343612966,-0.053612452219576286,2.4166922595110366e-4,0.08927235893854486
40,-3.453628431062179,4.26245970571558,0.41780048887701193,3,30,93.04237579369278,93.04237579369278,0.01094485139519487,-0.00962709831782785,-0.004028987503636472,-0.20595916991702312
41,-0.0825349449822474,0.6134541043510193,0.8929745136419904,14,34,113.64693659557796,113.64693659557796,0.01925286883000382,-0.09757234098991922,-2.2076966086442796e-4,0.07811823076320504
42,-0.9302328993451175,0.3712767537349459,0.012227933627222432,46,53,154.5408198601664,154.5408198601664,0.07796324528816231,-0.09016962156239786,1.9766621242964656e-4,0.019672462988465776
43,-1.0510042952108922,0.511615862617732,0.03994820966450575,38,27,129.6525174289153,129.6525174289153,0.15118994351933393,-0.03703709772452218,3.4898056030317943e-4,0.011181652304061464
44,-1.8797194936323394,0.6103084624125298,0.0020703541125306154,35,17,111.58437112572776,111.58437112572776,0.148660475313443,-0.07979309625330225,-1.6070799358061934e-4,-0.009453296766819504
45,-0.330274155429654,0.4627054767039145,0.4753575611323078,57,34,147.2462907339084,147.2462907339084,0.06790507134214853,-0.049921497907720457,-0.0016893860921018728,-0.01606940783219775
46,0.9214850660000167,0.4881160010330339,0.05904739090274,46,35,137.53559989251625,137.53559989251625,0.061974871844012555,0.013171046042865679,-0.00284981058013971,-0.01200291305154789
47,0.7779998844312498,0.47328675541992415,0.10021266846788475,45,45,143.08916928670325,143.08916928670325,0.10422810769732274,0.07830622649160117,-0.004320827407033386,-0.011760681850589033
48,-0.2226622567863675,0.40546997235665944,0.5829051858353663,54,67,180.78552752911847,180.78552752911847,0.1051823267585985,0.040860826790525245,-0.004701546901836547,-0.01602424034169974
49,-0.24430453860332652,0.4457327842977629,0.583625705948752,68,66,191.83760126178416,191.83760126178416,0.10475554355175105,0.05390457468228172,-0.0050598407137006016,-0.01859575657721422
50,-0.4227903201874047,0.6519255934627937,0.5166451741787499,62,44,173.95966313143046,173.95966313143046,0.10012509115945381,0.1795525631963206,-0.008435563425460486,-0.02566862187591468
