bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
cersum,triangular,1870,2,-0.211098731788706,0.12027959327474565,0.07924786681918644,290,286,94.69102462873845,94.69102462873845,-0.05617953244372686,1.2076326153591301e-5,NA
mserd,uniform,1870,2,-0.22042486947379675,0.12877074025036736,0.08694052385138419,226,221,69.28450273607652,69.28450273607652,-0.06509904781072465,1.3955953847465314e-4,NA
msetwo,uniform,1870,2,-0.27844174807642136,0.10565457480683631,0.008403893035586993,376,273,90.03322130763685,130.29211896219792,-0.07123849226639933,2.72691274757088e-4,NA
msesum,uniform,1870,2,-0.189742762898138,0.11479619096012081,0.09835806378235139,276,272,88.38131379568014,88.38131379568014,-0.0683483420533871,-5.02173401261e-5,NA
cerrd,uniform,1870,2,-0.19191119694122127,0.15129883987859552,0.20464629876439458,166,154,47.2232683880106,47.2232683880106,-0.047487016724774817,1.7596199824346172e-4,NA
certwo,uniform,1870,2,-0.2619652370561364,0.1265036591104982,0.03837641143856857,278,194,61.36528091777505,88.80513620819707,-0.0715222383268469,2.2146140328390806e-4,NA
cersum,uniform,1870,2,-0.2680917170257245,0.13961369318846956,0.054827664656708144,201,193,60.23936576057954,60.23936576057954,-0.06196775037704588,1.3932814178862335e-4,NA
mserd,epanechnikov,1870,2,-0.21837943329757994,0.12394546182457507,0.07808629810003496,263,260,83.4743710598436,83.4743710598436,-0.05856741272431372,8.282988431569118e-5,NA
msetwo,epanechnikov,1870,2,-0.26651450326983583,0.11300382720353598,0.018351157459894168,442,239,76.44226361651697,156.40506499523246,-0.06912763931109994,3.322026258335555e-4,NA
msesum,epanechnikov,1870,2,-0.16194282594533194,0.11068620325244156,0.1434453521142618,327,328,109.21914928204748,109.21914928204748,-0.06244113590101029,-1.0918672129411151e-4,NA
cerrd,epanechnikov,1870,2,-0.17585699414255299,0.14486968017459423,0.2247867318000032,197,187,56.89486786237423,56.89486786237423,-0.04419159847349252,6.351976372208899e-5,NA
certwo,epanechnikov,1870,2,-0.2452299093600507,0.13424938760200703,0.0677487509761128,318,170,52.10188986562768,106.60332498378786,-0.06365109994013904,1.1887693901848967e-4,NA
cersum,epanechnikov,1870,2,-0.2127848973167558,0.13076051094796531,0.1036761288042075,243,231,74.44211903061998,74.44211903061998,-0.05531170304147068,1.1416964921659705e-4,NA
mserd,triangular,1870,3,-0.30948922076026397,0.22833206417480134,0.17527907541309232,215,215,93.99313444980987,93.99313444980987,-0.0783866779491372,4.098879846055558e-4,NA
