bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
msesum,epanechnikov,1,1890,1,-0.27366808517114993,0.1643735984549777,0.09592969633911035,651,584,236.45206323114638,236.45206323114638,NA,NA,NA
cerrd,epanechnikov,1,1890,1,-0.050011826963901385,0.16539846599585373,0.7623686722225584,303,292,96.62570906269177,96.62570906269177,NA,NA,NA
certwo,epanechnikov,1,1890,1,-0.12876041007304995,0.17341429835005245,0.45778342657337673,500,281,92.34133787030491,172.2405458728964,NA,NA,NA
cersum,epanechnikov,1,1890,1,-0.23202480929042046,0.16503354180798294,0.15974634816888642,558,511,196.62562150001241,196.62562150001241,NA,NA,NA
mserd,triangular,2,1890,1,0.04531199616172721,0.1708210873482433,0.7908092010799586,556,508,194.65575716487083,194.65575716487083,NA,NA,NA
msetwo,triangular,2,1890,1,0.03731526438766508,0.17054244754146894,0.826803211838967,556,576,230.47618732864385,194.75675242207586,NA,NA,NA
msesum,triangular,2,1890,1,0.024245559853504517,0.16991282135686053,0.8865317638547445,633,573,229.47703408044194,229.47703408044194,NA,NA,NA
cerrd,triangular,2,1890,1,0.032117431298912535,0.17245635205908683,0.8522603753779949,464,431,157.6597987208112,157.6597987208112,NA,NA,NA
certwo,triangular,2,1890,1,0.045198319048580515,0.17139966456241426,0.7920100726684807,464,486,186.67225585009106,157.74159898274343,NA,NA,NA
cersum,triangular,2,1890,1,0.04187999114386187,0.1704693088257712,0.8059340819660457,534,481,185.86300005258934,185.86300005258934,NA,NA,NA
mserd,uniform,2,1890,1,0.02831126602857026,0.18082208160495988,0.8755839535440697,522,476,181.13968431815698,181.13968431815698,NA,NA,NA
msetwo,uniform,2,1890,1,0.027230467096913458,0.17509449004912983,0.8764124145028418,489,517,199.31348370064862,167.53326417678815,NA,NA,NA
msesum,uniform,2,1890,1,0.020337150812906657,0.17796411120854308,0.9090184545721673,558,510,196.07219400145968,196.07219400145968,NA,NA,NA
cerrd,uniform,2,1890,1,0.053613019866858735,0.16668009690453242,0.7477161936806203,430,406,146.71256882355289,146.71256882355289,NA,NA,NA
certwo,uniform,2,1890,1,0.04472177704219149,0.17062002520778438,0.7932340969078581,403,434,161.43228528284664,135.69216289236815,NA,NA,NA
cersum,uniform,2,1890,1,0.051753047802570507,0.16997711387137004,0.7607693254247094,468,432,158.80702986264788,158.80702986264788,NA,NA,NA
mserd,epanechnikov,2,1890,1,0.05357945600069414,0.17111936496828356,0.7541958859489687,524,476,181.65343789913592,181.65343789913592,NA,NA,NA
msetwo,epanechnikov,2,1890,1,0.050916489749132765,0.17154898130280097,0.7666158581464098,522,542,214.20504598680213,181.1129738287689,NA,NA,NA
msesum,epanechnikov,2,1890,1,0.03667461048195442,0.17261481137670617,0.831744259681314,600,541,213.9226069258483,213.9226069258483,NA,NA,NA
cerrd,epanechnikov,2,1890,1,0.023404361894046488,0.17362023488428782,0.8927683926638168,432,406,147.12867922968195,147.12867922968195,NA,NA,NA
certwo,epanechnikov,2,1890,1,0.04406354078425068,0.17075603820640284,0.7963685671680711,430,456,173.49358132088176,146.69093488658646,NA,NA,NA
cersum,epanechnikov,2,1890,1,0.04442559493941722,0.16977796590432323,0.7935768041653946,501,454,173.26482217114255,173.26482217114255,NA,NA,NA
mserd,triangular,1,1890,2,0.03446784694758797,0.16311525763936027,0.8326455626953679,370,357,121.73670009660802,121.73670009660802,-0.055828278720912394,2.4447476700988026e-4,NA
msetwo,triangular,1,1890,2,-0.03543862730987899,0.15070271612737768,0.8140877614697835,591,356,120.69981432663785,210.82597918790174,-0.058952655685833896,5.270941249365605e-4,NA
msesum,triangular,1,1890,2,-0.01793097576583109,0.15597230107966711,0.9084747942399346,514,467,177.23985734873708,177.23985734873708,-0.05681574731168228,3.159525878526164e-4,NA
cerrd,triangular,1,1890,2,0.023500266283731936,0.16871742228652467,0.8892227876461046,319,306,101.23216515330942,101.23216515330942,-0.055409646923580504,2.9659287906639914e-4,NA
certwo,triangular,1,1890,2,-0.033182063153822154,0.15857879473559996,0.8342557875310239,512,304,100.36992565258831,175.31582773987574,-0.06094990685822444,6.069724150257452e-4,NA
cersum,triangular,1,1890,2,0.003143012028043018,0.16017477227226062,0.984344601745425,432,407,147.38673297894238,147.38673297894238,-0.056296276698628356,2.6731584176251533e-4,NA
mserd,uniform,1,1890,2,0.043741301553689695,0.16921788035553417,0.7960279827938244,288,273,89.08052775955267,89.08052775955267,-0.06219390747261627,3.800851625916082e-4,NA
msetwo,uniform,1,1890,2,-0.021053569145145053,0.16176360038216556,0.8964475734365239,425,272,87.77563254443619,144.92842382413573,-0.06261672944662404,7.280390970916462e-4,NA
msesum,uniform,1,1890,2,0.05987548594437261,0.1642345147129664,0.7154300987939335,354,342,117.44104330822191,117.44104330822191,-0.0561384641547026,1.3290327097223616e-4,NA
cerrd,uniform,1,1890,2,0.01287659522588373,0.17542131965029792,0.9414847767250866,249,231,74.07638527200612,74.07638527200612,-0.06105655498976817,3.6403973327388695e-4,NA
certwo,uniform,1,1890,2,-0.02100820388234449,0.16889609369132547,0.9010101527942961,365,227,72.99127808724093,120.51762635532887,-0.06498161468822763,7.106743279930727e-4,NA
cersum,uniform,1,1890,2,0.09357590485539748,0.16061521221994973,0.5601563915883225,306,297,97.66004074794324,97.66004074794324,-0.057539505415127,1.1367470935147537e-4,NA
mserd,epanechnikov,1,1890,2,0.039042180434365234,0.16363723774537997,0.811423653327061,343,330,111.04527896242647,111.04527896242647,-0.057925590848534395,2.630126375819373e-4,NA
msetwo,epanechnikov,1,1890,2,-0.029997024318620107,0.15236515575321463,0.8439246682129384,542,332,111.45685931106972,188.6775228456561,-0.060394391634776584,5.667484092564692e-4,NA
msesum,epanechnikov,1,1890,2,-0.023926834227140818,0.15796473195432814,0.8796053923582544,480,439,164.80890539637676,164.80890539637676,-0.057448111304161165,3.129509537001681e-4,NA
cerrd,epanechnikov,1,1890,2,0.004457074562433573,0.17217468225404858,0.9793475220537707,295,281,92.34153719049999,92.34153719049999,-0.057772290159618475,3.37363453439184e-4,NA
certwo,epanechnikov,1,1890,2,-0.03694306634563517,0.16418326621078955,0.821970596411564,460,283,92.68379363243282,156.89791277627188,-0.06309364815473728,6.665824318033912e-4,NA
cersum,epanechnikov,1,1890,2,0.004098119175644941,0.1606626574600918,0.9796500846796319,408,389,137.04956941154208,137.04956941154208,-0.057402195457795166,2.4759147768994546e-4,NA
mserd,triangular,2,1890,2,0.07010483379184175,0.17515709713306388,0.6889799354078066,598,535,212.80797287612367,212.80797287612367,-0.05380843960498785,3.088368339658012e-4,NA
msetwo,triangular,2,1890,2,0.05940292676529012,0.17349106398177994,0.7320516820924288,622,577,232.20912303457754,222.86062250787654,-0.05335511170844151,3.021286227814703e-4,NA
msesum,triangular,2,1890,2,0.029258542872039627,0.170551029939602,0.8637889507187615,708,640,264.6379384016902,264.6379384016902,-0.05197675721041044,2.7953274261791755e-4,NA
cerrd,triangular,2,1890,2,0.07121524382174808,0.17807411429414777,0.6892160860663716,500,452,172.36203366652052,172.36203366652052,-0.05489402047828512,2.751947770886689e-4,NA
certwo,triangular,2,1890,2,0.07766918912108806,0.17813135705901445,0.6628207736632783,520,488,188.07583259795064,180.50409296462084,-0.05443624915240946,2.6762833805825414e-4,NA
cersum,triangular,2,1890,2,0.05531283446261204,0.1749173632648831,0.7518335068923301,600,541,214.34127975450673,214.34127975450673,-0.05378853049181358,3.104590838702891e-4,NA
mserd,uniform,2,1890,2,0.07273964532340005,0.18363623883169478,0.6920259110654008,522,475,181.0293143322312,181.0293143322312,-0.05095840341878577,3.0409266653062686e-4,NA
msetwo,uniform,2,1890,2,0.07704153720454004,0.18333321613310505,0.6743197527209611,530,476,183.82058875208782,183.38229330715322,-0.05103995888981691,3.1037946968823227e-4,NA
msesum,uniform,2,1890,2,0.034116176440285396,0.17299607116984558,0.8436649186544587,587,528,206.73546228809477,206.73546228809477,-0.04984529676505709,3.4792251575341986e-4,NA
cerrd,uniform,2,1890,2,0.08403738317582,0.17660520597035567,0.6341820689440694,429,405,146.62317557868144,146.62317557868144,-0.05455630800572717,3.092537542885498e-4,NA
certwo,uniform,2,1890,2,0.0836170881287342,0.1750169814354325,0.6328170681878462,436,408,148.88394489585303,148.5289511744492,-0.05429843375226694,3.0959522428035055e-4,NA
cersum,uniform,2,1890,2,0.07382152950352998,0.17690912223249652,0.6764699322285945,489,443,167.4436546214675,167.4436546214675,-0.05282881757630849,3.3703478862987836e-4,NA
mserd,epanechnikov,2,1890,2,0.07687017484295129,0.1776345101859855,0.6652011435682137,572,518,200.38919770060278,200.38919770060278,-0.054062370450023316,3.1053059879945343e-4,NA
msetwo,epanechnikov,2,1890,2,0.06984756757847971,0.1761809057701441,0.6917703759053926,588,548,215.74015061282154,207.94452400085913,-0.053603127256368274,3.09518670360066e-4,NA
msesum,epanechnikov,2,1890,2,0.02701542954365179,0.1714319050980437,0.8747822944231818,681,611,248.09275659621753,248.09275659621753,-0.051935585638002026,3.0623053688476646e-4,NA
cerrd,epanechnikov,2,1890,2,0.07359247559295366,0.1781680449963903,0.6795693043212787,472,436,162.303550819423,162.303550819423,-0.05573308528194662,2.72925529702029e-4,NA
certwo,epanechnikov,2,1890,2,0.07859957838045213,0.1772609524304425,0.6574679823580927,491,462,174.7369264439783,168.4229240201836,-0.05531974016353152,2.726453745476383e-4,NA
cersum,epanechnikov,2,1890,2,0.06426105091130531,0.1775130407944051,0.7173464309064854,575,520,200.94064844905463,200.94064844905463,-0.05403292690319689,3.1090933160166393e-4,NA
mserd,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerrd,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
certwo,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cersum,triangular,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mserd,uniform,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msetwo,uniform,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msesum,uniform,1,1890,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
