spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,enslaved_share_coef
3,cerrd,uniform,TRUE,1860,-0.21986596247724324,0.22495395182869032,0.32838002878172884,121,180,67.32471872246357,67.32471872246357,NA
4,cerrd,uniform,TRUE,1860,-0.9105534233115775,0.2122256034168007,1.7827328386385373e-5,87,151,54.831673898373786,54.831673898373786,0.04343696949152181
1,certwo,uniform,TRUE,1860,0.053741764597777575,0.1365213711794625,0.6938387749340121,226,248,92.47028775100601,86.81190823931009,NA
2,certwo,uniform,TRUE,1860,0.03876900014201856,0.1559831292216407,0.8037118976779954,262,133,50.57998088665031,102.77536114291811,NA
3,certwo,uniform,TRUE,1860,-0.03239731486907165,0.19676304323019916,0.8692183546037173,178,133,50.71105190871712,89.63030685665862,NA
4,certwo,uniform,TRUE,1860,-0.7366375912951015,0.18645770201588133,7.792443789823267e-5,124,134,51.15987868011909,68.63389884856186,0.03989014481135189
1,cersum,uniform,TRUE,1860,-0.07582461109114824,0.11905172515731816,0.5241868784882898,298,318,120.01033259113153,120.01033259113153,NA
2,cersum,uniform,TRUE,1860,0.005578964533024415,0.15347961758630302,0.971003383675263,173,176,65.85003323478908,65.85003323478908,NA
3,cersum,uniform,TRUE,1860,-0.25818297164626386,0.2553555293765007,0.3119816971811378,107,163,62.632670570984054,62.632670570984054,NA
4,cersum,uniform,TRUE,1860,-0.877467899309855,0.20907218163060318,2.7051988548319408e-5,104,161,60.9802241814875,60.9802241814875,0.041687358103903525
1,mserd,epanechnikov,TRUE,1860,0.060584238684739944,0.1405002936317777,0.6663203041053161,238,245,91.58591928862684,91.58591928862684,NA
2,mserd,epanechnikov,TRUE,1860,0.0482984768771854,0.13229951745952906,0.7150597633545971,256,267,99.93391412405137,99.93391412405137,NA
3,mserd,epanechnikov,TRUE,1860,-0.15495990357869627,0.14902454683713112,0.2984197958708651,257,326,125.05514561299519,125.05514561299519,NA
4,mserd,epanechnikov,TRUE,1860,-0.7081970104561768,0.15595669512291108,5.599202037580855e-6,163,228,84.35617861062737,84.35617861062737,0.041339076440540114
1,msetwo,epanechnikov,TRUE,1860,0.04616228077085438,0.12627810168406836,0.7146930851523102,262,346,132.6373250462238,102.68918829685994,NA
2,msetwo,epanechnikov,TRUE,1860,-0.09415397437578558,0.12304799600283366,0.44416384094052713,501,243,91.28987154489808,211.15093169023842,NA
3,msetwo,epanechnikov,TRUE,1860,-0.18670543568045175,0.130921879794267,0.1538444545304523,485,240,90.37378744167646,231.85620416755896,NA
4,msetwo,epanechnikov,TRUE,1860,-0.5929548150736491,0.13714951072035564,1.5362948544645552e-5,231,245,91.95287172581924,114.64847461114992,0.03715661122549781
1,msesum,epanechnikov,TRUE,1860,-0.056250861420790166,0.11251070718448168,0.6171031912846088,374,380,150.85654770751577,150.85654770751577,NA
2,msesum,epanechnikov,TRUE,1860,0.02488376050684339,0.12295205643304667,0.8396150637927566,298,320,120.11467419912731,120.11467419912731,NA
3,msesum,epanechnikov,TRUE,1860,-0.10046011682067478,0.16670488167226102,0.5467598317664435,210,286,104.28325737154569,104.28325737154569,NA
4,msesum,epanechnikov,TRUE,1860,-0.5604117508262325,0.13063589612046858,1.787731814276765e-5,231,305,114.82906772921484,114.82906772921484,0.036634631239548084
1,cerrd,epanechnikov,TRUE,1860,0.017083364793454514,0.16706172151242044,0.918552047117115,164,163,62.811637262778284,62.811637262778284,NA
2,cerrd,epanechnikov,TRUE,1860,0.00725617332134943,0.15743222866897985,0.963237899226104,180,184,68.54779007217746,68.54779007217746,NA
3,cerrd,epanechnikov,TRUE,1860,-0.17706057733980832,0.19109979544245942,0.3541682114929145,168,234,85.90895233143331,85.90895233143331,NA
4,cerrd,epanechnikov,TRUE,1860,-0.8318602553789937,0.20624927447944763,5.5004604357538146e-5,97,155,57.9500418923121,57.9500418923121,0.04261019315167286
1,certwo,epanechnikov,TRUE,1860,8.561632782413398e-4,0.1492502129211831,0.9954230168161371,182,242,90.96559398015664,70.42650329014577,NA
2,certwo,epanechnikov,TRUE,1860,-0.0779121552536622,0.14593965561963154,0.5934345546932505,356,163,62.6185715352628,144.83501287741183,NA
3,certwo,epanechnikov,TRUE,1860,-0.23229634686808864,0.16042235649870162,0.1476087269271173,340,163,62.08394991890103,159.27792090394436,NA
4,certwo,epanechnikov,TRUE,1860,-0.7717732441304734,0.17357629542468894,8.735967293811315e-6,149,163,63.168731163437364,78.75989661969831,0.04112651748232262
1,cersum,epanechnikov,TRUE,1860,0.05279525348211678,0.13320232941186302,0.6918440209413671,263,284,103.46073749020242,103.46073749020242,NA
2,cersum,epanechnikov,TRUE,1860,0.012614953349813315,0.14365763587819608,0.9300256074248685,215,223,82.3904031355074,82.3904031355074,NA
3,cersum,epanechnikov,TRUE,1860,-0.2670390568020352,0.22696213475314636,0.239363275317315,132,191,71.63931833899478,71.63931833899478,NA
4,cersum,epanechnikov,TRUE,1860,-0.7379949176293992,0.16422473070685759,6.995969264480515e-6,149,217,78.88395841255918,78.88395841255918,0.04136006164211476
