GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley","42","110",8646,42313,195128,60,607980,72033
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun","42","130",3853,20572,67542,42,258884,16776
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll","42","150",5780,19942,1408,31355,224617,29921
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot","42","170",7214,34181,83882,15715,1484065,120083
"G0500190","1870","Arkansas","050","Clark","0190","Clark","42","190",11953,39257,110755,23311,620390,68364
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia","42","270",11397,61114,429,188778,624595,27114
"G0500290","1870","Arkansas","050","Conway","0290","Conway","42","290",8112,28984,136291,35555,1055071,56687
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead","42","310",4577,18432,43097,15595,346086,28738
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford","42","330",8957,24026,51602,310,748524,23619
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden","42","350",3831,18242,2180,81574,443335,22238
"G0500370","1870","Arkansas","050","Cross","0370","Cross","42","370",3915,15458,55210,187,306067,17620
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas","42","390",5707,30911,131392,0,358559,10533
"G0500410","1870","Arkansas","050","Desha","0410","Desha","42","410",6125,33202,92633,6816,976504,35412
"G0500430","1870","Arkansas","050","Drew","0430","Drew","42","430",9960,40325,163941,33668,567745,26236
"G0500470","1870","Arkansas","050","Franklin","0470","Franklin","42","470",9627,35896,76129,2752,818329,43818
"G0500490","1870","Arkansas","050","Fulton","0490","Fulton","42","490",4843,14435,88232,157,309397,22148
"G0500530","1870","Arkansas","050","Grant","0530","Grant","42","530",3943,13038,77670,0,151317,20360
"G0500550","1870","Arkansas","050","Greene","0550","Greene","42","550",7573,19513,1073,75025,381480,10005
"G0500570","1870","Arkansas","050","Hempstead","0570","Hempstead","42","570",13768,51279,1318,125308,733528,190397
"G0500590","1870","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",5877,18663,41365,927,208837,20830
"G0500630","1870","Arkansas","050","Independence","0630","Independence","42","630",14566,58842,184447,7504,1236732,79127
"G0500650","1870","Arkansas","050","Izard","0650","Izard","42","650",6806,31409,787,132616,400145,62100
"G0500670","1870","Arkansas","050","Jackson","0670","Jackson","42","670",7268,20555,60422,8437,648361,45662
"G0500690","1870","Arkansas","050","Jefferson","0690","Jefferson","42","690",15733,70883,125478,3200,2460271,112137
"G0500710","1870","Arkansas","050","Johnson","0710","Johnson","42","710",9152,31953,209,113894,912064,23774
"G0500730","1870","Arkansas","050","Lafayette","0730","Lafayette","42","730",9139,68108,149848,17405,1215616,55693
"G0500750","1870","Arkansas","050","Lawrence","0750","Lawrence","42","750",5981,6787,21261,1745,164890,9050
"G0500810","1870","Arkansas","050","Little River","0810","Little River","42","810",3236,10843,24429,0,289337,11371
