GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AKE001,AK3001,AK3002,AK3003,AK3004
"G0100570","1870","Alabama","010","Fayette","0570","Fayette","41","570",0,6059,1077,0,0
"G0100590","1870","Alabama","010","Franklin","0590","Franklin","41","590",0,6693,1313,0,0
"G0100610","1870","Alabama","010","Geneva","0610","Geneva","41","610",0,2732,227,0,0
"G0100630","1870","Alabama","010","Greene","0630","Greene","41","630",0,3858,14541,0,0
"G0100650","1870","Alabama","010","Hale","0650","Hale","41","650",0,4802,16990,0,0
"G0100670","1870","Alabama","010","Henry","0670","Henry","41","670",0,9534,4657,0,0
"G0100710","1870","Alabama","010","Jackson","0710","Jackson","41","710",0,16350,3060,0,0
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson","41","730",0,9839,2506,0,0
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale","41","770",0,9921,5170,0,0
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence","41","790",0,10096,6562,0,0
"G0100810","1870","Alabama","010","Lee","0810","Lee","41","810",0,10151,11597,0,2
"G0100830","1870","Alabama","010","Limestone","0830","Limestone","41","830",0,7764,7253,0,0
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes","41","850",0,5086,20633,0,0
"G0100870","1870","Alabama","010","Macon","0870","Macon","41","870",0,5103,12620,0,4
"G0100890","1870","Alabama","010","Madison","0890","Madison","41","890",4907,15527,15740,0,0
"G0100910","1870","Alabama","010","Marengo","0910","Marengo","41","910",0,6090,20058,0,3
"G0100930","1870","Alabama","010","Marion","0930","Marion","41","930",0,5835,224,0,0
"G0100950","1870","Alabama","010","Marshall","0950","Marshall","41","950",0,8504,1367,0,0
"G0100970","1870","Alabama","010","Mobile","0970","Mobile","41","970",32034,28195,21107,0,9
"G0100990","1870","Alabama","010","Monroe","0990","Monroe","41","990",0,6625,7572,0,17
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery","41","1010",10588,12419,31285,0,0
"G0101030","1870","Alabama","010","Morgan","1030","Morgan","41","1030",0,8829,3358,0,0
"G0101050","1870","Alabama","010","Perry","1050","Perry","41","1050",2646,7142,17833,0,0
"G0101070","1870","Alabama","010","Pickens","1070","Pickens","41","1070",0,8052,9638,0,0
"G0101090","1870","Alabama","010","Pike","1090","Pike","41","1090",0,12798,4625,0,0
"G0101110","1870","Alabama","010","Randolph","1110","Randolph","41","1110",0,10365,1641,0,0
"G0101130","1870","Alabama","010","Russell","1130","Russell","41","1130",0,5946,15690,0,0
"G0101150","1870","Alabama","010","St Clair","1150","St Clair","41","1150",0,7295,2065,0,0
"G0101155","1870","Alabama","010","Sanford","1155","Sanford","41","750",0,7330,1563,0,0
"G0101170","1870","Alabama","010","Shelby","1170","Shelby","41","1170",0,8840,3378,0,0
"G0101190","1870","Alabama","010","Sumter","1190","Sumter","41","1190",0,5202,18907,0,0
"G0101210","1870","Alabama","010","Talladega","1210","Talladega","41","1210",0,8469,9595,0,0
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",0,12772,4190,0,1
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",0,11787,8294,0,0
"G0101270","1870","Alabama","010","Walker","1270","Walker","41","1270",0,6235,308,0,0
"G0101290","1870","Alabama","010","Washington","1290","Washington","41","1290",0,2125,1787,0,0
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox","41","1310",0,6767,21610,0,0
"G0101330","1870","Alabama","010","Winston","1330","Winston","41","1330",0,4134,21,0,0
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave","61","150",0,175,4,0,0
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute","65","255",,,,,
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima","61","190",3224,5698,12,0,6
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",0,2116,8,12,6
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma","61","270",0,1592,2,8,19
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas","42","10",0,3982,4212,74,0
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley","42","30",0,4278,3764,0,0
"G0500070","1870","Arkansas","050","Benton","0070","Benton","42","70",0,13640,182,0,9
"G0500090","1870","Arkansas","050","Boone","0090","Boone","42","90",0,6958,74,0,0
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley","42","110",0,6117,2529,0,0
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun","42","130",0,2753,1100,0,0
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll","42","150",0,5743,37,0,0
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot","42","170",0,1816,5393,5,0
"G0500190","1870","Arkansas","050","Clark","0190","Clark","42","190",0,8461,3492,0,0
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia","42","270",0,7679,3718,0,0
"G0500290","1870","Arkansas","050","Conway","0290","Conway","42","290",0,7482,630,0,0
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead","42","310",0,4324,253,0,0
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford","42","330",0,7961,988,0,8
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden","42","350",0,1253,2575,0,3
"G0500370","1870","Arkansas","050","Cross","0370","Cross","42","370",0,2626,1289,0,0
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas","42","390",0,3956,1751,0,0
"G0500410","1870","Arkansas","050","Desha","0410","Desha","42","410",0,2185,3934,5,1
"G0500430","1870","Arkansas","050","Drew","0430","Drew","42","430",0,6106,3854,0,0
"G0500470","1870","Arkansas","050","Franklin","0470","Franklin","42","470",0,8976,651,0,0
"G0500490","1870","Arkansas","050","Fulton","0490","Fulton","42","490",0,4758,85,0,0
"G0500530","1870","Arkansas","050","Grant","0530","Grant","42","530",0,3604,339,0,0
"G0500550","1870","Arkansas","050","Greene","0550","Greene","42","550",0,7417,156,0,0
"G0500570","1870","Arkansas","050","Hempstead","0570","Hempstead","42","570",0,7439,6329,0,0
"G0500590","1870","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",0,5226,650,0,1
"G0500630","1870","Arkansas","050","Independence","0630","Independence","42","630",0,13658,908,0,0
"G0500650","1870","Arkansas","050","Izard","0650","Izard","42","650",0,6624,182,0,0
"G0500670","1870","Arkansas","050","Jackson","0670","Jackson","42","670",0,5656,1612,0,0
"G0500690","1870","Arkansas","050","Jefferson","0690","Jefferson","42","690",0,5556,10167,10,0
"G0500710","1870","Arkansas","050","Johnson","0710","Johnson","42","710",0,8539,613,0,0
"G0500730","1870","Arkansas","050","Lafayette","0730","Lafayette","42","730",0,3981,5158,0,0
"G0500750","1870","Arkansas","050","Lawrence","0750","Lawrence","42","750",0,5735,246,0,0
"G0500810","1870","Arkansas","050","Little River","0810","Little River","42","810",0,1358,1878,0,0
"G0500870","1870","Arkansas","050","Madison","0870","Madison","42","870",0,8081,150,0,0
"G0500890","1870","Arkansas","050","Marion","0890","Marion","42","890",0,3960,19,0,0
"G0500930","1870","Arkansas","050","Mississippi","0930","Mississippi","42","930",0,2662,971,0,0
"G0500950","1870","Arkansas","050","Monroe","0950","Monroe","42","950",0,5135,3200,0,1
"G0500970","1870","Arkansas","050","Montgomery","0970","Montgomery","42","970",0,2864,120,0,0
"G0501010","1870","Arkansas","050","Newton","1010","Newton","42","1010",0,4365,9,0,0
"G0501030","1870","Arkansas","050","Ouachita","1030","Ouachita","42","1030",0,7511,5458,0,6
"G0501050","1870","Arkansas","050","Perry","1050","Perry","42","1050",0,2395,290,0,0
"G0501070","1870","Arkansas","050","Phillips","1070","Phillips","42","1070",0,4871,10501,0,0
"G0501090","1870","Arkansas","050","Pike","1090","Pike","42","1090",0,3367,421,0,0
"G0501110","1870","Arkansas","050","Poinsett","1110","Poinsett","42","1110",0,1494,225,0,1
"G0501130","1870","Arkansas","050","Polk","1130","Polk","42","1130",0,3323,45,0,8
"G0501150","1870","Arkansas","050","Pope","1150","Pope","42","1150",0,7811,575,0,0
"G0501170","1870","Arkansas","050","Prairie","1170","Prairie","42","1170",0,3793,1811,0,0
"G0501190","1870","Arkansas","050","Pulaski","1190","Pulaski","42","1190",12380,18348,13708,4,6
"G0501210","1870","Arkansas","050","Randolph","1210","Randolph","42","1210",0,7109,357,0,0
"G0501230","1870","Arkansas","050","St Francis","1230","St Francis","42","1230",0,4268,2446,0,0
"G0501250","1870","Arkansas","050","Saline","1250","Saline","42","1250",0,3726,185,0,0
"G0501270","1870","Arkansas","050","Scott","1270","Scott","42","1270",0,7362,121,0,0
"G0501290","1870","Arkansas","050","Searcy","1290","Searcy","42","1290",0,5584,30,0,0
"G0501310","1870","Arkansas","050","Sebastian","1310","Sebastian","42","1310",0,11545,1354,0,41
"G0501330","1870","Arkansas","050","Sevier","1330","Sevier","42","1330",0,3523,968,0,1
"G0501350","1870","Arkansas","050","Sharp","1350","Sharp","42","1350",0,5286,114,0,0
"G0501390","1870","Arkansas","050","Union","1390","Union","42","1390",0,5675,4896,0,0
"G0501410","1870","Arkansas","050","Van Buren","1410","Van Buren","42","1410",0,4988,119,0,0
"G0501430","1870","Arkansas","050","Washington","1430","Washington","42","1430",0,16590,674,0,2
"G0501450","1870","Arkansas","050","White","1450","White","42","1450",0,9146,1200,0,1
"G0501470","1870","Arkansas","050","Woodruff","1470","Woodruff","42","1470",0,4205,2686,0,0
"G0501490","1870","Arkansas","050","Yell","1490","Yell","42","1490",0,7281,767,0,0
"G0600010","1870","California","060","Alameda","0010","Alameda","71","10",10500,22106,81,1939,111
"G0600030","1870","California","060","Alpine","0030","Alpine","71","30",0,676,1,8,0
"G0600050","1870","California","060","Amador","0050","Amador","71","50",0,7883,72,1627,0
"G0600070","1870","California","060","Butte","0070","Butte","71","70",0,9197,84,2082,40
"G0600090","1870","California","060","Calaveras","0090","Calaveras","71","90",0,7405,31,1441,18
"G0600110","1870","California","060","Colusa","0110","Colusa","71","110",0,5389,81,271,424
"G0600130","1870","California","060","Contra Costa","0130","Contra Costa","71","130",0,8271,21,160,9
"G0600150","1870","California","060","Del Norte","0150","Del Norte","71","150",0,1009,12,217,784
"G0600170","1870","California","060","El Dorado","0170","El Dorado","71","170",0,8589,132,1582,6
"G0600190","1870","California","060","Fresno","0190","Fresno","71","190",0,3259,15,427,2635
"G0600230","1870","California","060","Humboldt","0230","Humboldt","71","230",0,6025,0,39,76
"G0600270","1870","California","060","Inyo","0270","Inyo","71","270",0,1608,8,29,311
"G0600290","1870","California","060","Kern","0290","Kern","71","290",0,2193,4,143,585
"G0600315","1870","California","060","Klamath","0315","Klamath","71","315",0,1081,2,542,61
"G0600330","1870","California","060","Lake","0330","Lake","71","330",0,2825,2,119,23
"G0600350","1870","California","060","Lassen","0350","Lassen","71","350",0,1309,0,17,1
"G0600370","1870","California","060","Los Angeles","0370","Los Angeles","71","370",5728,14720,134,236,219
"G0600410","1870","California","060","Marin","0410","Marin","71","410",0,6394,22,361,126
"G0600430","1870","California","060","Mariposa","0430","Mariposa","71","430",0,3364,90,1084,34
"G0600450","1870","California","060","Mendocino","0450","Mendocino","71","450",0,6865,9,129,542
"G0600470","1870","California","060","Merced","0470","Merced","71","470",0,2548,36,186,37
"G0600510","1870","California","060","Mono","0510","Mono","71","510",0,386,0,42,2
"G0600530","1870","California","060","Monterey","0530","Monterey","71","530",0,9429,16,230,201
"G0600550","1870","California","060","Napa","0550","Napa","71","550",0,6725,109,263,66
"G0600570","1870","California","060","Nevada","0570","Nevada","71","570",0,16334,165,2627,8
"G0600610","1870","California","060","Placer","0610","Placer","71","610",0,8850,95,2410,2
"G0600630","1870","California","060","Plumas","0630","Plumas","71","630",0,3571,2,911,5
"G0600670","1870","California","060","Sacramento","0670","Sacramento","71","670",16283,22725,475,3596,34
"G0600710","1870","California","060","San Bernardino","0710","San Bernardino","71","710",0,3964,8,16,0
"G0600730","1870","California","060","San Diego","0730","San Diego","71","730",0,4838,15,70,28
"G0600750","1870","California","060","San Francisco","0750","San Francisco","71","750",149473,136059,1330,12030,54
"G0600770","1870","California","060","San Joaquin","0770","San Joaquin","71","770",10066,19193,223,1629,5
"G0600790","1870","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",0,4567,9,59,137
"G0600810","1870","California","060","San Mateo","0810","San Mateo","71","810",0,6098,10,519,8
"G0600830","1870","California","060","Santa Barbara","0830","Santa Barbara","71","830",0,7484,38,109,153
"G0600850","1870","California","060","Santa Clara","0850","Santa Clara","71","850",9089,24536,173,1525,12
"G0600870","1870","California","060","Santa Cruz","0870","Santa Cruz","71","870",2561,8532,53,156,2
"G0600890","1870","California","060","Shasta","0890","Shasta","71","890",0,3529,44,574,26
"G0600910","1870","California","060","Sierra","0910","Sierra","71","910",0,4781,28,810,0
"G0600930","1870","California","060","Siskiyou","0930","Siskiyou","71","930",0,5329,29,1440,50
"G0600950","1870","California","060","Solano","0950","Solano","71","950",0,15870,78,920,3
"G0600970","1870","California","060","Sonoma","0970","Sonoma","71","970",0,19184,77,473,85
"G0600990","1870","California","060","Stanislaus","0990","Stanislaus","71","990",0,6189,4,306,0
"G0601010","1870","California","060","Sutter","1010","Sutter","71","1010",0,4791,31,208,0
"G0601030","1870","California","060","Tehama","1030","Tehama","71","1030",0,3166,73,294,54
"G0601050","1870","California","060","Trinity","1050","Trinity","71","1050",0,1951,23,1099,140
"G0601070","1870","California","060","Tulare","1070","Tulare","71","1070",0,4391,39,99,4
"G0601090","1870","California","060","Tuolumne","1090","Tuolumne","71","1090",0,6556,67,1524,3
"G0601130","1870","California","060","Yolo","1130","Yolo","71","1130",0,9318,69,395,117
"G0601150","1870","California","060","Yuba","1150","Yuba","71","1150",4738,8362,152,2337,0
"G0850015","1870","Colorado Territory","085","Arapahoe","0015","Arapahoe","62","50",4759,6566,257,4,2
"G0850035","1870","Colorado Territory","085","Bent","0035","Bent","62","110",0,570,11,0,11
"G0850055","1870","Colorado Territory","085","Boulder","0055","Boulder","62","130",0,1938,1,0,0
"G0850075","1870","Colorado Territory","085","Clear Creek","0075","Clear Creek","62","190",0,1572,22,2,0
"G0850095","1870","Colorado Territory","085","Conejos","0095","Conejos","62","210",0,2470,0,0,34
"G0850115","1870","Colorado Territory","085","Costilla","0115","Costilla","62","230",0,1761,1,0,17
"G0850135","1870","Colorado Territory","085","Douglas","0135","Douglas","62","350",0,1385,2,0,1
"G0850155","1870","Colorado Territory","085","El Paso","0155","El Paso","62","410",0,986,1,0,0
"G0850175","1870","Colorado Territory","085","Fremont","0175","Fremont","62","430",0,1063,1,0,0
"G0850195","1870","Colorado Territory","085","Gilpin","0195","Gilpin","62","470",0,5429,60,1,0
"G0850215","1870","Colorado Territory","085","Greenwood","0215","Greenwood","62","495",0,479,31,0,0
"G0850235","1870","Colorado Territory","085","Huerfano","0235","Huerfano","62","550",0,2217,2,0,31
"G0850255","1870","Colorado Territory","085","Jefferson","0255","Jefferson","62","590",0,2370,20,0,0
"G0850275","1870","Colorado Territory","085","Lake","0275","Lake","62","650",0,521,1,0,0
"G0850295","1870","Colorado Territory","085","Larimer","0295","Larimer","62","690",0,828,0,0,10
"G0850315","1870","Colorado Territory","085","Las Animas","0315","Las Animas","62","710",0,4191,13,0,72
"G0850335","1870","Colorado Territory","085","Park","0335","Park","62","930",0,446,1,0,0
"G0850355","1870","Colorado Territory","085","Pueblo","0355","Pueblo","62","1010",0,2237,27,0,1
"G0850375","1870","Colorado Territory","085","Saguache","0375","Saguache","62","1090",0,304,0,0,0
"G0850395","1870","Colorado Territory","085","Summit","0395","Summit","62","1170",0,253,5,0,0
"G0850415","1870","Colorado Territory","085","Weld","0415","Weld","62","1230",0,1635,0,0,1
"G0900010","1870","Connecticut","090","Fairfield","0010","Fairfield","1","10",25511,93582,1680,0,14
"G0900030","1870","Connecticut","090","Hartford","0030","Hartford","1","30",45182,107252,1752,1,2
"G0900050","1870","Connecticut","090","Litchfield","0050","Litchfield","1","50",0,47648,1052,0,27
"G0900070","1870","Connecticut","090","Middlesex","0070","Middlesex","1","70",6923,35722,372,0,5
"G0900090","1870","Connecticut","090","New Haven","0090","New Haven","1","90",73308,118517,2734,0,6
"G0900110","1870","Connecticut","090","New London","0110","New London","1","110",26229,65010,1419,0,141
"G0900130","1870","Connecticut","090","Tolland","0130","Tolland","1","130",0,21801,199,0,0
"G0900150","1870","Connecticut","090","Windham","0150","Windham","1","150",0,38017,460,1,40
"G0950075","1870","Dakota Territory","095","Bon Homme","0075","Bon Homme","37","90",0,592,4,0,12
"G0950135","1870","Dakota Territory","095","Brookings","0135","Brookings","37","110",0,18,0,0,145
"G0950195","1870","Dakota Territory","095","Buffalo","0195","Buffalo","37","170",0,214,9,0,23
"G0950295","1870","Dakota Territory","095","Charles Mix","0295","Charles Mix","37","230",0,35,0,0,117
"G0950355","1870","Dakota Territory","095","Clay","0355","Clay","37","270",0,2618,2,0,1
"G0950495","1870","Dakota Territory","095","Deuel","0495","Deuel","37","390",0,17,0,0,20
"G0950815","1870","Dakota Territory","095","Hutchinson","0815","Hutchinson","37","670",0,37,0,0,0
"G0950855","1870","Dakota Territory","095","Jayne","0855","Jayne","37","715",0,3,2,0,0
"G0950975","1870","Dakota Territory","095","Lincoln","0975","Lincoln","37","830",0,712,0,0,0
"G0951195","1870","Dakota Territory","095","Minnehaha","1195","Minnehaha","37","990",0,301,0,0,54
"G0951275","1870","Dakota Territory","095","Pembina","1275","Pembina","36","670",0,404,1,0,808
"G0951655","1870","Dakota Territory","095","Todd","1655","Todd","37","1195",0,321,16,0,0
"G0951735","1870","Dakota Territory","095","Union","1735","Union","37","1270",0,3496,0,0,11
"G0951755","1870","Dakota Territory","095","Unorganized Territory","1755","Unorganized Territory","37","9995",0,2042,41,0,8
"G0951855","1870","Dakota Territory","095","Yankton","1855","Yankton","37","1350",0,2077,19,0,1
"G1000010","1870","Delaware","100","Kent","0010","Kent","11","10",0,22640,7164,0,0
"G1000030","1870","Delaware","100","New Castle","0030","New Castle","11","30",30841,53323,10192,0,0
"G1000050","1870","Delaware","100","Sussex","0050","Sussex","11","50",0,26258,5438,0,0
"G1100010","1870","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",120583,88278,43404,3,15
"G1200010","1870","Florida","120","Alachua","0010","Alachua","43","10",0,4935,12393,0,0
"G1200030","1870","Florida","120","Baker","0030","Baker","43","30",0,1035,290,0,0
"G1200070","1870","Florida","120","Bradford","0070","Bradford","43","70",0,2847,824,0,0
"G1200090","1870","Florida","120","Brevard","0090","Brevard","43","90",0,1197,19,0,0
"G1200130","1870","Florida","120","Calhoun","0130","Calhoun","43","130",0,754,244,0,0
"G1200190","1870","Florida","120","Clay","0190","Clay","43","190",0,1699,399,0,0
"G1200230","1870","Florida","120","Columbia","0230","Columbia","43","230",0,4107,3228,0,0
"G1200250","1870","Florida","120","Dade","0250","Dade","43","250",0,72,13,0,0
"G1200310","1870","Florida","120","Duval","0310","Duval","43","310",6912,5141,6780,0,0
"G1200330","1870","Florida","120","Escambia","0330","Escambia","43","330",3347,4937,2880,0,0
"G1200370","1870","Florida","120","Franklin","0370","Franklin","43","370",0,781,475,0,0
"G1200390","1870","Florida","120","Gadsden","0390","Gadsden","43","390",0,3764,6038,0,0
"G1200470","1870","Florida","120","Hamilton","0470","Hamilton","43","470",0,3386,2363,0,0
"G1200530","1870","Florida","120","Hernando","0530","Hernando","43","530",0,2083,854,0,1
"G1200570","1870","Florida","120","Hillsborough","0570","Hillsborough","43","570",0,2670,546,0,0
"G1200590","1870","Florida","120","Holmes","0590","Holmes","43","590",0,1435,137,0,0
"G1200630","1870","Florida","120","Jackson","0630","Jackson","43","630",0,3930,5598,0,0
"G1200650","1870","Florida","120","Jefferson","0650","Jefferson","43","650",0,3501,9897,0,0
"G1200670","1870","Florida","120","Lafayette","0670","Lafayette","43","670",0,1586,197,0,0
"G1200730","1870","Florida","120","Leon","0730","Leon","43","730",0,2895,12341,0,0
"G1200750","1870","Florida","120","Levy","0750","Levy","43","750",0,1623,395,0,0
"G1200770","1870","Florida","120","Liberty","0770","Liberty","43","770",0,727,323,0,0
"G1200790","1870","Florida","120","Madison","0790","Madison","43","790",0,4429,6692,0,0
"G1200810","1870","Florida","120","Manatee","0810","Manatee","43","810",0,1843,88,0,0
"G1200830","1870","Florida","120","Marion","0830","Marion","43","830",0,2926,7878,0,0
"G1200870","1870","Florida","120","Monroe","0870","Monroe","43","870",5016,4631,1026,0,0
"G1200890","1870","Florida","120","Nassau","0890","Nassau","43","890",0,2277,1970,0,0
"G1200950","1870","Florida","120","Orange","0950","Orange","43","950",0,1997,198,0,0
"G1201050","1870","Florida","120","Polk","1050","Polk","43","1050",0,2687,482,0,0
"G1201070","1870","Florida","120","Putnam","1070","Putnam","43","1070",0,2487,1334,0,0
"G1201090","1870","Florida","120","St Johns","1090","St Johns","43","1090",0,1937,681,0,0
"G1201130","1870","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",0,2750,562,0,0
"G1201190","1870","Florida","120","Sumter","1190","Sumter","43","1190",0,1972,980,0,0
"G1201210","1870","Florida","120","Suwannee","1210","Suwannee","43","1210",0,2121,1435,0,0
"G1201230","1870","Florida","120","Taylor","1230","Taylor","43","1230",0,1374,79,0,0
"G1201270","1870","Florida","120","Volusia","1270","Volusia","43","1270",0,1395,328,0,0
"G1201290","1870","Florida","120","Wakulla","1290","Wakulla","43","1290",0,1562,944,0,0
"G1201310","1870","Florida","120","Walton","1310","Walton","43","1310",0,2636,405,0,0
"G1201330","1870","Florida","120","Washington","1330","Washington","43","1330",0,1928,373,0,1
"G1300010","1870","Georgia","130","Appling","0010","Appling","44","10",0,4110,976,0,0
"G1300070","1870","Georgia","130","Baker","0070","Baker","44","70",0,1888,4955,0,0
"G1300090","1870","Georgia","130","Baldwin","0090","Baldwin","44","90",2750,3844,6774,0,0
"G1300110","1870","Georgia","130","Banks","0110","Banks","44","110",0,4052,921,0,0
"G1300150","1870","Georgia","130","Bartow","0150","Bartow","44","150",0,11846,4719,0,1
"G1300190","1870","Georgia","130","Berrien","0190","Berrien","44","190",0,4057,460,0,1
"G1300210","1870","Georgia","130","Bibb","0210","Bibb","44","210",10810,9831,11424,0,0
"G1300270","1870","Georgia","130","Brooks","0270","Brooks","44","270",0,4111,4231,0,0
"G1300290","1870","Georgia","130","Bryan","0290","Bryan","44","290",0,1647,3605,0,0
"G1300310","1870","Georgia","130","Bulloch","0310","Bulloch","44","310",0,3866,1744,0,0
"G1300330","1870","Georgia","130","Burke","0330","Burke","44","330",0,4243,13436,0,0
"G1300350","1870","Georgia","130","Butts","0350","Butts","44","350",0,3496,3445,0,0
"G1300370","1870","Georgia","130","Calhoun","0370","Calhoun","44","370",0,2026,3477,0,0
"G1300390","1870","Georgia","130","Camden","0390","Camden","44","390",0,1458,3157,0,0
"G1300395","1870","Georgia","130","Campbell","0395","Campbell","44","410",0,6589,2587,0,0
"G1300450","1870","Georgia","130","Carroll","0450","Carroll","44","450",0,10473,1309,0,0
"G1300470","1870","Georgia","130","Catoosa","0470","Catoosa","44","470",0,3793,616,0,0
"G1300490","1870","Georgia","130","Charlton","0490","Charlton","44","490",0,1496,401,0,0
"G1300510","1870","Georgia","130","Chatham","0510","Chatham","44","510",28235,16760,24518,0,1
"G1300530","1870","Georgia","130","Chattahoochee","0530","Chattahoochee","44","530",0,2654,3405,0,0
"G1300550","1870","Georgia","130","Chattooga","0550","Chattooga","44","550",0,5399,1503,0,0
"G1300570","1870","Georgia","130","Cherokee","0570","Cherokee","44","570",0,9117,1281,0,1
"G1300590","1870","Georgia","130","Clarke","0590","Clarke","44","590",4251,6488,6453,0,0
"G1300610","1870","Georgia","130","Clay","0610","Clay","44","610",0,2644,2849,0,0
"G1300630","1870","Georgia","130","Clayton","0630","Clayton","44","630",0,3734,1743,0,0
"G1300650","1870","Georgia","130","Clinch","0650","Clinch","44","650",0,3437,507,1,0
"G1300670","1870","Georgia","130","Cobb","0670","Cobb","44","670",0,10593,3217,0,4
"G1300690","1870","Georgia","130","Coffee","0690","Coffee","44","690",0,2514,678,0,0
"G1300710","1870","Georgia","130","Colquitt","0710","Colquitt","44","710",0,1517,137,0,0
"G1300730","1870","Georgia","130","Columbia","0730","Columbia","44","730",0,4080,9449,0,0
"G1300770","1870","Georgia","130","Coweta","0770","Coweta","44","770",0,7856,8019,0,0
"G1300790","1870","Georgia","130","Crawford","0790","Crawford","44","790",0,3284,4273,0,0
"G1300830","1870","Georgia","130","Dade","0830","Dade","44","830",0,2788,245,0,0
"G1300850","1870","Georgia","130","Dawson","0850","Dawson","44","850",0,4032,337,0,0
"G1300870","1870","Georgia","130","Decatur","0870","Decatur","44","870",0,7465,7718,0,0
"G1300890","1870","Georgia","130","DeKalb","0890","De Kalb","44","890",0,7352,2662,0,0
"G1300930","1870","Georgia","130","Dooly","0930","Dooly","44","930",0,4935,4855,0,0
"G1300950","1870","Georgia","130","Dougherty","0950","Dougherty","44","950",0,2093,9424,0,0
"G1300990","1870","Georgia","130","Early","0990","Early","44","990",0,2826,4172,0,0
