GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOS001,AOS002,AOD001,AOD002,AOD003,AOH001,AOH002,AOH003,AOH004,AOH005,AOH006,AOH007,AOH008,AOH009,AOH010,AOH011,AOH012,AOH013,AOH014,AOH015,AOH016,AOH017,AOH018,AOH019,AOH020,AOH021,AOH022,AOH023,AOH024,AOH025,AOH026,AOH027,AOH028,AOH029,AOH030,AOH031,AOH032,AOH033,AOH034,AOH035,AOH036,AOH037,AOH038
"G0100610","1880","Alabama","010","Geneva","0610","Geneva","41","610",17823,93286,185645,6417,136883,40202,0,1827,0,0,0,58887,10604,0,0,1112,0,0,0,0,0,22519,0,340,0,0,0,0,0,5598,6689,260,32998,948,0,33492,0,13854,40202,0,0,1814,0
"G0100630","1880","Alabama","010","Greene","0630","Greene","41","630",128200,166665,1374085,65856,438745,9222,1125,104505,100,0,0,402992,22464,133,1803,15811,0,0,0,0,0,1746,0,8714,0,0,13,0,0,105943,3451,452,0,6829,3517,64074,16003,3868,9222,0,0,5473,80
"G0100650","1880","Alabama","010","Hale","0650","Hale","41","650",150762,188847,2405796,75059,480127,8884,3800,227018,8,360,0,595185,45075,463,15273,18093,0,0,0,0,0,0,0,8849,0,0,23,0,0,143015,7834,605,4775,5540,2130,77830,56457,3031,8884,0,0,6423,46
"G0100670","1880","Alabama","010","Henry","0670","Henry","41","670",141907,266193,1460265,68899,421101,15439,0,75445,75,65,0,325846,63402,844,906,12573,0,0,0,0,21,86610,0,652,0,0,0,0,0,106832,30410,1781,18036,4499,1720,112684,15638,5501,15439,0,0,13645,45
"G0100710","1880","Alabama","010","Jackson","0710","Jackson","41","710",129348,251734,2295581,80173,561019,26087,601,213353,435,50,0,1099486,90962,1613,58335,6235,0,0,0,0,0,0,0,58869,0,0,823,0,0,266882,36579,2797,0,17127,17166,32538,36330,13784,26087,0,0,4925,569
"G0100730","1880","Alabama","010","Jefferson","0730","Jefferson","41","730",73844,200170,1234372,43588,345251,13783,5183,230582,40,34,0,429660,43414,359,60038,5333,0,0,0,0,0,0,0,36988,0,0,192,0,0,120228,10550,681,0,17649,5487,44091,39392,8050,13783,0,0,8278,28
"G0100750","1880","Alabama","010","Lamar","0750","Lamar","41","750",63582,261723,700293,42006,307621,9250,393,150828,18,100,0,352474,32440,320,24221,5015,0,0,0,0,0,0,0,33841,0,0,230,0,0,109931,5589,966,1365,10420,4092,48056,40564,6586,9250,0,0,20201,718
"G0100770","1880","Alabama","010","Lauderdale","0770","Lauderdale","41","770",106429,278402,1620552,69368,484321,13150,227,188163,62,0,0,721039,39233,1133,36376,9270,0,0,0,0,0,0,0,53713,0,0,193,0,0,153847,11070,792,0,19870,17936,34105,48150,7974,13150,0,0,4437,727
"G0100790","1880","Alabama","010","Lawrence","0790","Lawrence","41","790",141603,212575,2025445,97737,500708,16980,11427,178514,75,0,0,798931,56352,612,34024,13791,0,0,0,0,0,0,0,50169,0,0,150,0,0,171765,16765,3060,501,27276,12082,29695,40114,7548,16980,0,0,4159,572
"G0100810","1880","Alabama","010","Lee","0810","Lee","41","810",127337,188391,1559494,76090,387598,2612,2266,143785,0,166,0,244903,101911,655,50225,13189,0,0,0,0,4,19659,0,11706,0,0,202,0,0,143771,8574,635,6967,1766,1771,70011,33680,1121,2612,0,0,18520,35
"G0100830","1880","Alabama","010","Limestone","0830","Limestone","41","830",133512,168099,1930136,88466,456741,10664,194,217843,1912,0,0,719928,40389,1378,41638,15724,0,0,0,0,0,0,50,48649,0,0,473,0,0,147312,19831,1427,0,32034,13466,26746,48552,4623,10664,0,0,6481,288
"G0100850","1880","Alabama","010","Lowndes","0850","Lowndes","41","850",189134,121065,1733537,127202,619576,4512,0,79202,200,0,0,611184,43922,0,0,29356,0,0,0,0,0,23356,0,512,0,0,0,0,0,97464,6848,632,0,0,1447,68587,11077,1346,4512,0,0,926,116
"G0100870","1880","Alabama","010","Macon","0870","Macon","41","870",136450,172295,1269680,50226,294479,2209,700,87503,0,0,0,173969,53336,246,9094,14580,0,0,0,0,0,14165,0,4542,0,0,0,0,0,71541,9336,658,2005,680,1092,60374,3436,744,2209,0,0,6297,103
"G0100890","1880","Alabama","010","Madison","0890","Madison","41","890",218683,176672,3512110,136452,641277,14720,21093,251281,1340,396,0,1033223,81161,898,80716,20679,0,21,0,0,0,0,16,56401,0,0,1961,15,0,242233,21803,1512,0,36356,16829,36577,80077,5493,14720,0,0,8304,401
"G0100910","1880","Alabama","010","Marengo","0910","Marengo","41","910",176407,284302,2448297,99403,612062,16477,18,124541,1000,0,0,698009,83234,0,0,23481,0,0,0,0,2,5828,0,7172,0,0,278,0,0,111422,17288,2258,9750,7479,2483,95625,22820,4277,16477,0,0,5964,107
"G0100930","1880","Alabama","010","Marion","0930","Marion","41","930",43573,222537,526489,33591,233866,11538,700,108258,112,0,0,272481,15680,370,15136,2240,0,0,0,0,0,0,0,35742,0,0,8,0,0,120330,5677,712,0,8285,3028,34261,33198,7453,11538,0,0,7637,744
"G0100950","1880","Alabama","010","Marshall","0950","Marshall","41","950",69627,141218,978133,64466,322560,10957,0,131237,325,50,0,465582,31873,691,30984,5358,0,4,0,0,0,0,50,32935,0,0,46,0,0,97088,9932,867,0,9719,5975,17815,31209,6875,10957,0,0,5078,372
"G0100970","1880","Alabama","010","Mobile","0970","Mobile","41","970",10542,56455,473914,28881,179669,10815,85070,18966,150,0,0,25272,1440,0,0,1,0,0,0,0,9,14905,0,325,0,0,1334,0,2,23936,1595,78,115989,0,92714,58695,8372,3411,10815,0,0,0,0
"G0100990","1880","Alabama","010","Monroe","0990","Monroe","41","990",82914,250153,754610,43930,344117,16995,2020,53333,145,20,0,251068,44024,0,0,10421,0,0,0,0,3,40201,0,2174,0,0,1,0,0,73651,24789,2641,41360,2496,1470,81893,20310,6414,16995,0,0,3264,14
"G0101010","1880","Alabama","010","Montgomery","1010","Montgomery","41","1010",255204,159283,2678865,116670,747353,8223,20004,192783,620,0,155,767427,62292,115,393,31732,0,0,0,0,1,22494,0,2373,0,0,692,0,0,215477,6876,724,0,318,10823,117285,41052,2426,8223,0,0,4987,393
"G0101030","1880","Alabama","010","Morgan","1030","Morgan","41","1030",99299,177705,1649091,67711,363331,9680,1103,173733,1561,902,53,580687,40533,805,39829,6133,50,0,0,0,0,0,0,42209,0,0,282,3,2,200179,11820,923,0,17795,9635,26745,44774,5563,9680,0,0,4786,167
"G0101050","1880","Alabama","010","Perry","1050","Perry","41","1050",170221,221722,1795175,78283,473831,7030,83,95866,0,34,0,628248,63710,261,2974,21627,0,0,0,0,0,2498,0,9683,0,0,16,0,0,69670,11594,770,7930,4522,1538,77660,45796,3107,7030,0,0,7183,513
"G0101070","1880","Alabama","010","Pickens","1070","Pickens","41","1070",118177,324042,1753208,78635,520381,13079,1700,215701,0,28,0,491436,76044,223,11985,17283,0,0,0,0,2,1525,0,28660,0,0,48,0,0,122989,5641,401,540,8637,4289,71223,63246,6986,13079,0,0,29725,8
"G0101090","1880","Alabama","010","Pike","1090","Pike","41","1090",119278,180135,1435140,57271,435123,4594,0,57695,0,0,0,374170,38698,134,408,15136,0,0,0,0,3,54402,200,1935,0,0,0,0,0,83894,16851,1050,9045,764,655,91680,13448,2233,4594,0,0,2954,6
"G0101110","1880","Alabama","010","Randolph","1110","Randolph","41","1110",84016,194586,917418,55496,328804,11659,12361,208229,20,736,0,332466,43558,922,58379,7475,0,0,0,0,1,1032,36,27451,0,0,1,0,0,103527,12786,816,0,11521,2396,36873,50863,7316,11659,0,0,5412,28
"G0101130","1880","Alabama","010","Russell","1130","Russell","41","1130",142056,148856,1302048,72601,367493,4272,10550,65549,0,0,0,215555,91141,103,6771,19442,0,0,0,0,0,19553,0,1590,0,0,154,0,0,59984,5823,286,12452,303,3314,80264,20264,1384,4272,0,0,17957,290
"G0101150","1880","Alabama","010","St Clair","1150","St Clair","41","1150",65726,181052,914394,61473,287629,9518,0,165337,0,0,0,341703,41291,181,54853,6028,0,0,0,0,0,0,0,31936,0,0,7,0,0,125480,6406,353,0,11208,2786,22187,45511,6979,9518,0,0,4302,192
"G0101170","1880","Alabama","010","Shelby","1170","Shelby","41","1170",59549,168277,936977,47315,310672,7303,1565,122046,0,0,0,312839,39348,445,34324,6643,0,0,0,0,0,0,0,11237,0,0,138,0,0,70687,5747,381,0,2298,1427,30654,29165,3877,7303,0,0,2900,60
"G0101190","1880","Alabama","010","Sumter","1190","Sumter","41","1190",186851,255400,2041087,103644,655857,11559,66,142200,0,0,0,699883,31380,162,225,22211,0,0,0,0,0,2872,0,12830,0,0,100,0,0,145899,8346,843,1190,2627,5147,96402,24765,4137,11559,0,0,8828,69
"G0101210","1880","Alabama","010","Talladega","1210","Talladega","41","1210",116757,187384,1738313,82843,395268,6504,3105,161256,10,315,0,454873,92356,842,89868,11832,0,0,0,0,1,402,49,26290,0,0,421,0,0,126062,21428,533,0,5520,2426,22872,56958,3263,6504,0,0,4601,11
"G0101230","1880","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",144585,237507,1464532,59779,393771,6813,815,152407,0,348,0,461960,78684,114,99061,14161,0,0,0,0,0,3327,250,38491,0,0,1,0,0,103333,29266,1536,540,5350,1322,40308,39155,3400,6813,0,0,4844,0
"G0101250","1880","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",112937,392797,1323962,67957,425274,17252,21279,197464,100,173,0,489784,63013,689,12388,11137,0,0,0,0,0,1771,0,19812,0,0,174,0,0,122843,19591,1006,1400,5568,8573,86036,55436,10145,17252,0,0,16408,58
"G0101270","1880","Alabama","010","Walker","1270","Walker","41","1270",48520,232836,633384,25206,244145,12086,0,117293,0,35,0,263123,21687,344,26149,2754,2,0,0,0,0,0,0,21575,0,0,3,0,0,60441,18169,1601,0,10900,2177,21579,21485,7971,12086,0,0,7702,808
"G0101290","1880","Alabama","010","Washington","1290","Washington","41","1290",9240,57839,153545,10128,157560,21419,0,7697,0,0,0,58105,3547,0,0,1246,0,0,0,0,0,6988,0,200,0,0,1,0,0,14698,840,169,19421,0,1450,40695,30733,7055,21419,0,0,1273,0
"G0101310","1880","Alabama","010","Wilcox","1310","Wilcox","41","1310",172729,254477,1945835,96739,597903,8591,103,119553,107,0,0,573385,92933,146,179,26745,0,0,0,0,0,31752,0,3834,0,0,32,0,0,139530,26464,2803,7771,2695,3908,130591,25717,2796,8591,0,0,2938,22
"G0101330","1880","Alabama","010","Winston","1330","Winston","41","1330",17967,103855,163406,11800,77469,5640,0,72890,300,0,0,88781,4043,137,8314,568,0,0,0,0,0,0,0,7082,0,0,2,0,2,29695,1940,128,0,571,202,9912,6186,3503,5640,0,0,1377,15
"G0250055","1880","Alaska Territory","025","Northern District","0055","Northern District","81","2900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0250095","1880","Alaska Territory","025","Southern District","0095","Southern District","81","2950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0450015","1880","Arizona Territory","045","Apache","0015","Apache","61","10",5389,4477,62596,4384,123992,86680,0,5742,9485,20751,0,4368,564,0,11075,0,0,0,0,0,0,0,0,2393,0,0,20,0,0,1482,100,10,0,0,3025,0,0,30606,86680,0,0,0,0
"G0450135","1880","Arizona Territory","045","Maricopa","0135","Maricopa","61","130",19447,15564,287180,29465,161406,24,4600,7800,0,125138,0,2165,0,0,87315,0,0,0,0,0,0,0,0,2478,0,0,2012,0,0,24067,150,0,0,0,4815,5055,178,8,24,0,0,0,0
"G0450155","1880","Arizona Territory","045","Mohave","0155","Mohave","61","150",2390,1040,39670,1925,62555,0,712,1565,0,5817,0,430,0,0,320,0,0,0,0,0,0,0,0,360,0,0,24,15,0,3330,75,0,0,0,538,15,53,0,0,0,0,0,0
"G0450195","1880","Arizona Territory","045","Pima","0195","Pima","61","190",9205,14781,220300,18695,295373,26360,6280,8390,1000,33511,0,9486,0,0,9890,0,0,0,0,0,0,0,0,0,0,0,654,0,0,13581,125,0,0,600,4639,0,666,11125,26360,0,0,0,0
"G0450215","1880","Arizona Territory","045","Pinal","0215","Pinal","61","210",7841,8496,173750,13090,88061,14,3650,6425,825,33890,0,2205,0,0,22357,0,0,0,0,0,0,0,0,400,0,0,932,0,0,8100,100,0,0,0,521,126,0,5,14,0,100,27,450
"G0450255","1880","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",11239,33774,337950,20352,435502,200320,27376,31895,7050,16944,0,14841,0,0,5070,0,0,0,0,0,0,0,0,140,0,0,1704,0,0,21944,100,0,0,0,12711,107,1814,34680,200320,0,100,0,236
"G0450275","1880","Arizona Territory","045","Yuma","0275","Yuma","61","270",560,1370,6500,900,1100,300,0,0,0,3000,0,1251,0,0,400,0,0,0,0,0,0,0,0,0,0,0,260,0,0,30,0,0,0,0,0,0,111,100,300,0,0,0,0
"G0500010","1880","Arkansas","050","Arkansas","0010","Arkansas","42","10",38991,112468,662556,57110,308095,5416,638,84211,2025,0,0,136232,10354,0,539,8508,0,0,0,0,0,0,0,7415,0,0,378,0,0,45277,21561,727,0,5952,5177,10061,3888,1523,5416,0,0,7604,39
"G0500030","1880","Arkansas","050","Ashley","0030","Ashley","42","30",49575,146246,952916,53494,329813,4822,217,73892,50,0,0,152289,12218,66,85,11371,0,0,0,0,0,0,0,1820,0,0,13,0,0,58011,7847,291,0,4194,2244,14397,8272,1813,4822,0,0,4758,43
"G0500050","1880","Arkansas","050","Baxter","0050","Baxter","42","50",28923,76738,481820,42243,195366,6286,13,87812,230,0,0,261337,21678,304,9995,2879,0,0,0,0,0,0,0,14426,0,0,220,0,0,56041,8078,439,0,6470,3884,5396,5640,2585,6286,0,0,92,92
"G0500070","1880","Arkansas","050","Benton","0070","Benton","42","70",121874,185731,2256424,112193,580425,36764,452,298346,700,200,183,1119834,245382,1360,156087,126,0,0,0,0,0,0,0,55120,0,0,2346,0,34,236875,24671,581,0,395982,28165,14058,48937,12919,36764,0,0,33,840
"G0500090","1880","Arkansas","050","Boone","0090","Boone","42","90",76686,101527,915401,70348,529527,12168,100,126725,247,346,0,653945,92372,1939,56581,2686,0,0,0,0,0,0,0,33171,0,0,663,0,0,103473,7406,271,0,34089,11571,11707,24493,6082,12168,0,0,411,410
"G0500110","1880","Arkansas","050","Bradley","0110","Bradley","42","110",35212,154591,618961,50924,171006,4257,679,57934,200,65,0,97241,8316,0,1309,4900,0,0,0,0,0,0,0,5793,0,0,0,0,0,63976,4765,288,0,1433,756,8161,31834,2141,4257,0,0,3515,61
"G0500130","1880","Arkansas","050","Calhoun","0130","Calhoun","42","130",33979,104020,422887,42948,177096,4242,0,77198,210,0,0,100688,5838,100,652,5370,0,0,0,0,0,0,0,2909,0,0,6,0,0,47213,3922,287,0,1470,2053,15707,6504,2401,4242,0,0,4680,46
"G0500150","1880","Arkansas","050","Carroll","0150","Carroll","42","150",45707,94538,515647,49540,270484,13655,22,73888,724,0,0,582734,64451,4820,51992,502,0,0,0,0,0,0,0,20084,0,0,560,0,0,97011,26923,446,0,16540,4693,2104,25906,6223,13655,0,0,13,79
"G0500170","1880","Arkansas","050","Chicot","0170","Chicot","42","170",38932,84701,1733619,116971,303384,892,0,22428,0,0,0,117391,372,0,0,25338,0,0,0,0,0,0,0,1,0,0,5,0,0,22273,900,60,0,0,1909,6900,7350,306,892,0,0,260,0
"G0500190","1880","Arkansas","050","Clark","0190","Clark","42","190",70748,170575,1374012,96759,373616,5688,500,151333,25,62,0,470352,25969,290,11953,13924,0,0,0,0,0,0,0,30901,0,0,139,0,0,140749,25281,1108,0,3732,4065,25566,26370,2638,5688,0,0,199,0
"G0500210","1880","Arkansas","050","Clay","0210","Clay","42","210",27132,59999,443035,29431,189902,3259,40,75427,100,0,0,343836,12406,34,13408,2307,0,0,0,0,0,0,0,21556,0,0,100,0,0,59839,12720,283,0,11390,4427,5381,10188,1960,3259,0,0,1276,55
"G0500270","1880","Arkansas","050","Columbia","0270","Columbia","42","270",82427,262204,1002533,82955,348234,11436,3951,121382,300,94,0,235376,22545,159,3548,13039,0,0,0,0,0,0,0,22100,0,0,0,0,0,80157,13121,601,0,13333,4195,30673,14142,5605,11436,0,0,15980,720
"G0500290","1880","Arkansas","050","Conway","0290","Conway","42","290",53426,86814,1119903,58760,292236,3956,181,64641,20,0,0,349294,24674,63,9346,9096,0,0,0,0,0,0,0,8230,0,0,97,0,0,62062,8262,166,0,8591,4399,10149,310,2000,3956,0,0,0,0
