GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGP001,AGP002,AGV001,AGV002,AGY001,AGY002,AGY003,AGY004,AGY005,AGY006,AGY007,AGY008,AGY009,AGY010,AGY011,AGY012,AGY013,AGY014,AGY015,AGY016,AGY017,AGY018,AGY019,AGY020,AGY021,AGY022,AGY023,AGY024,AGY025,AGY026,AGY027,AGY028,AGY029,AGY030,AGY031,AGY032,AGY033
"G0501010","1860","Arkansas","050","Newton","1010","Newton","42","1010",11597,19351,190491,17202,8716,1401,193157,6050,0,17452,6,4958,235,3393,3551,50,0,0,31873,63,26,0,0,0,0,0,0,240,7,0,599,0,0,0,3109,2073,27098
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita","42","1030",74000,269631,1988237,102852,7337,603,418886,3815,205,10,10276,4461,10299,2031,35897,0,0,0,26364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325
"G0501050","1860","Arkansas","050","Perry","1050","Perry","42","1050",8735,42974,422441,24518,3704,85,88295,2513,0,1080,1272,2138,5192,4007,10515,24,0,0,31215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,476,6042
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips","42","1070",83737,276374,8037268,169685,13572,1265,578137,2175,0,1084,26993,4689,23457,11070,40593,0,0,196,114908,0,282,30,194,3,0,0,0,0,0,0,0,0,0,0,5,574,14123
"G0501090","1860","Arkansas","050","Pike","1090","Pike","42","1090",14289,63605,439436,35032,3710,162,145800,1744,40,5634,932,6107,312,2993,12157,41,6,0,39500,110,4,0,60,0,0,0,0,0,0,0,0,0,0,0,796,762,13484
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett","42","1110",15478,75632,912217,40279,2316,50,114480,150,0,4583,2577,1012,4145,4286,15998,0,0,0,36275,350,407,0,0,0,0,0,0,0,0,0,0,0,0,0,55,610,11256
"G0501130","1860","Arkansas","050","Polk","1130","Polk","42","1130",13807,19342,297360,28554,7104,236,150540,2011,170,12558,90,4399,3527,6538,15094,5,0,0,41015,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,1131,19655
"G0501150","1860","Arkansas","050","Pope","1150","Pope","42","1150",35577,80279,1032383,67086,24392,857,361196,8445,6,17420,3723,12305,3824,11357,20035,33,0,0,103091,375,587,0,9,0,50,0,0,0,0,0,0,0,0,0,1545,1747,32856
"G0501170","1860","Arkansas","050","Prairie","1170","Prairie","42","1170",35704,163185,2051830,53992,8828,715,272405,7504,450,4344,6495,4389,12200,8929,35288,60,0,0,93124,255,415,1,461,0,0,0,0,0,2,0,0,0,0,0,20,629,11691
"G0501190","1860","Arkansas","050","Pulaski","1190","Pulaski","42","1190",35926,148520,3361692,105600,4214,409,385710,4262,0,3904,11157,7294,3528,15337,32485,0,0,0,125796,758,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,3009
"G0501210","1860","Arkansas","050","Randolph","1210","Randolph","42","1210",22517,136927,711021,24187,14513,147,302716,2544,0,45930,667,7446,874,3239,4066,0,0,0,19032,25,18,2,5,12,0,0,0,40,1,0,100,0,0,0,706,30,653
"G0501230","1860","Arkansas","050","St Francis","1230","St Francis","42","1230",38730,193000,2498918,82091,11803,515,359697,2598,10,10470,9275,4535,15301,11264,36727,150,11,0,64534,225,176,1,157,0,0,0,0,0,0,0,0,0,0,0,0,4050,12830
"G0501250","1860","Arkansas","050","Saline","1250","Saline","42","1250",28629,123368,690206,54153,18963,416,301309,2730,0,6288,2562,4847,3134,3908,40982,0,0,0,55139,200,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,22455
"G0501270","1860","Arkansas","050","Scott","1270","Scott","42","1270",18871,69230,520782,41763,13495,1106,240810,8213,0,2510,400,5066,660,3619,13037,130,0,0,43067,10,2,0,0,0,0,0,0,40,0,0,0,0,0,0,85,628,16362
"G0501290","1860","Arkansas","050","Searcy","1290","Searcy","42","1290",18765,29550,318198,26610,16990,1787,294115,9463,218,4160,9,8596,192,5063,7550,103,20,0,45874,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,4172,1626,22562
"G0501310","1860","Arkansas","050","Sebastian","1310","Sebastian","42","1310",25767,120407,956068,49509,27896,989,248538,8132,0,6575,136,4906,320,7377,13800,0,0,0,72712,680,21,0,0,0,0,0,0,0,0,0,0,0,0,0,871,124,4230
